English,Hausa
Could the last one out turn off the light?,Na ƙarshen da zai fita zai iya kashe fitila?
Could you give me a wake-up call at seven?,Za ka iya kira na da ƙarfe bakwai ka tashe ni?
Could you please confirm the price by fax?,Dan Allah za ka iya tabbatar min da farashin ta saƙon fax?
Could you please tell me your room number?,Dan Allah za ka iya faɗa min lambar ɗakinka?
Could you put my name on the waiting list?,Za ka iya saka sunana a cikin jerin waɗanda suke jira?
Could you send someone up to make the bed?,Za ka iya aiko min da wani ya gyara min gadon?
Could you show me the way to the bus stop?,Za ka iya nuna min hanyar zuwa tashar motocin bas?
Could you survive alone in the wilderness?,Za ka iya rayuwa kai kaɗai a cikin daji?
Could you take care of my dog for a while?,Za ka iya kula min da karena na ɗan wani lokaci?
Could you tell me how to call this number?,Za ka iya faɗa min yadda zan kira wannan lambar?
Could you translate some sentences for me?,Za ka iya fassara min wasu jimloli?
Countless stars were twinkling in the sky.,Taurari marasa adadi suna ta ƙyalƙyali a sama.
Cut the bell peppers into two-inch strips.,Ka yi wa tattasan yanka inci biyu.
Democrats and Republicans worked together.,Yan jam'iyyar Democrat da na Republican suna aiki tare.
Deposit this check in my checking account.,Ka ajiye wannan cekin kuɗin a asusun bankina.
Developing political awareness takes time.,Samun wayewa kan harkokin siyasa yana ɗaukar lokaci.
Did Ali really say he thought I was smart?,Da gaske ne Ali ya ce ya zaci ina da wayo?
Did he get married when he was in Germany?,Shin ya yi aure ne lokacin da yake ƙasar Jamus?
Did that accident really happen last year?,Da gaske ne wancan hatsarin ya faru a shekarar da ta gabata?
Did you eat chicken for lunch again today?,Yau ma kaza ka sake ci a matsayin abincin rana?
Did you get everything ready for tomorrow?,Ka gama shirya komai saboda gobe?
Did you hear about what's happened to Ali??,Ka ji me ya faru da Ali kuwa?
Did you know that Ali almost married Mary?,Ka san cewa kaɗan ya rage Ali ya auri Mary?
Did you know that he bought a condominium?,Ka san cewa kuwa ya siyi rukunin gidaje?
Did you take the book back to the library?,Shin ka mayar da littafin ɗakin karatu kuwa?
Did you write this fairy tale by yourself?,Shin da kanka ka rubuta wannan tatsuniyar?
Didn't I tell you to take out the garbage?,Ba na faɗa maka ka fitar da shara waje ba?
Do a little work! You'll lose some weight.,"Ka yi aiki ɗan kaɗan, ƙibarka za ta ragu."
Do not let go of the rope till I tell you.,Kada ka saki igiyar har sai na faɗa maka.
Do whatever it is that he tells you to do.,Ka yi duka abin da ya faɗa maka ka yi.
Do you consider yourself a good guitarist?,Kana ganin kanka a matsayin ƙwararren mai kaɗa da garaya ne?
Do you go to school on foot or by bicycle?,A ƙafa kake zuwa makaranta ko a keke?
Do you have a Christmas vacation in Japan?,Kuna da hutun Kirsimati a ƙasar Japan?
Do you have any French-speaking employees?,Kuna da ma'aikatan da suke yin yaren Faransanci?
Do you have any idea what my life is like?,Shin ka san yaya rayuwata take kuwa?
Do you have any idea why Ali is mad at me?,Ka san me ya sa Ali yake jin haushi na kuwa?
Do you know a good way to learn new words?,Shin ka san hanya mai kyau ta koyon sababbin kalmomi?
Do you know any good restaurant near here?,Ka san wani gidan abinci mai kyau a nan kusa?
Do you know whether she can speak English?,Ka san cewa ko za ta iya magana da Turanci?
Do you know who invented the Ferris wheel?,Ka san wanda ya ƙirƙiri wilin mota ƙirar Ferris?
Do you know why Ali is absent from school?,Ka san me yasa Ali ya yi fashin makaranta?
Do you know your strengths and weaknesses?,Ka san ƙarfinka da rauninka?
Do you like to watch sports on television?,Kana son kallon wasanni a talabijin?
Do you really expect me to give you money?,Da gaske kana sa ran zan ba ka kuɗi?
Do you really think Ali is better than me?,Da gaske kana tunanin Ali ya fi ni?
Do you really want Ali to do this for you?,Da gaske kana son Ali ya yi maka wannan?
Do you really want to talk about that now?,Da gaske kana son magana a kan wannan ɗin yanzu?
Do you remember the day when we first met?,Ka tuna ranar da muka fara haɗuwa?
Do you see the bird on the telephone wire?,Ka ga tsuntsun a kan wayar layin tarho ko?
Do you still want to go to the lighthouse?,Har yanzu kana son ka je wajen hasumiya mai fitila?
Do you think that could ever happen again?,Kana tunanin hakan zai sake faruwa?
Do you think that he is equal to the task?,Kana ganin zai iya yin aikin?
Do you think you can make it to the party?,Kana ganin za ka iya samun zuwa bikin murnar?
Do you think you'd like to live in Boston?,Kana ganin za ka so zama a garin Boston?
Do you think you've made the wrong choice?,Kana tunanin ka yi zaɓi kuskure ko?
Do you want the good news or the bad news?,Labari mai kyau ko marar kyau kake so?
Do you want to tell me anything about Ali??,Kana so ka faɗa min komai dangane da Ali?
Does Ali sound like a woman's name to you?,Sunan Ali ya yi maka kama da sunan mata?
Does it matter to you what time we arrive?,Shin ka ma damu da wanne lokaci muka iso?
Does the gentleman know whose car this is?,Mutumin kuwa ya san wannan motar wa ne?
Doing that wouldn't have changed anything.,Aikata hakan ba zai canja komai ba.
Don't argue with a woman when she's tired.,Kada ka yi jayayya da mace idan ta gaji.
Don't believe that. It's all a fairy tale.,"Kar ka yarda da hakan, duk tatsuniya ce."
"Don't change your plans, whatever happens.","Ko me zai faru, kar ka canja tsarinka."
Don't forget to bring the camera with you.,Kar ka manta ka taho da kyamarar.
Don't forget to take an umbrella with you.,Kar ka manta ka tafi da laima.
Don't interfere in other people's affairs.,Kar ka dinga kutsa kai cikin harkokin mutane.
Don't neglect your daily responsibilities.,Kada ka yi sakaci da ayyukan da suke wajibinka ne na kullum
Don't say stupid things like that anymore.,Kada ka sake faɗar abubuwan sakarci irin haka.
Don't spend all your money on comic books.,Kada ka kashe dukkanin kuɗinka wajen sayen litattafan labarai na komik.
Don't tell me you don't know how to drive.,Kar fa ka ce min ba ka iya tuƙi ba.
Don't they have anyone to look after them?,Ba su da wanda zai kula da su?
Don't think you're going to get away this.,Kada ka yi tunanin zaka kuɓuta daga wannan.
Don't worry about the result of your test.,Kar ka damu da sakamakon gwajinka.
Don't worry about the store. I'll lock up.,"Kar ka damu da ma'ajiyar, zan kulle."
Don't worry. He doesn't understand German.,"Kar ka damu, ba ya fahimtar Jamusanci."
Don't worry. I'm sure Ali will understand.,"Kar ka damu, na tabbatar Ali zai fahimta."
Don't you have anything smaller than that?,Ba ka da wani abu wanda bai kai wancan girma ba?
Don't you have anything smaller than this?,Ba ka da wani abu wanda bai kai wannan girma ba?
Don't you think Ali has a beautiful smile?,Ba ka tunanin cewa Ali yana da murmushi mai kyau?
Don't you want Ali to know you were right?,Ba ka son Ali ya san cewa ka yi daidai?
Each passing car threw up a cloud of dust.,Duk motar da ta wuce tana buɗo ƙura.
Emperor Nero was an extremely evil tyrant.,Sarki Nero tsantsar mummunan azzalumi ne.
