english,ewe
"But to all those people who read me, who commented on the newspaper and shared with those around them, I am grateful to you",mekpɔ ŋudzedze le mi ame siwo katã xlẽ nu siawo eye miemae kple amewo hãe
Having a family whose members practice different religions has taught me a lot about respecting choices,esi metso ƒome si mee amewo le xɔse vovovo me la na be medea bubu amewo tsatsiã ŋ:ue
"We no longer need to repeat that black people cannot read,",mehiã be miaga gblɔ be ameyibɔ mexlea nu o
The last one was more than a year ago and thank God he will continue his professional adventure in other lands.,ame mamlɔetɔ wɔ wu ƒè ɖeka eye wokpɔ ɖo bubu fifia
"“Dear friends, I invite you to the filming of the program Parlement du Rire from September 24 to October 11, 2020 every day from 1 p.m.",xɔnyewo mele miakpem na nuawoléle metso anyɔnyɔ 24 lia dzio yi kele 11 lia dzi le ŋdɔ ga wui eve me
"When your friends gained confidence, after a beer on stilts, in #Ganvie",dzi ɖo tɔwowo ƒo le atukpa ɖeka megbe
Videos to watch Thank you!! already a very nice article.,"enyo be mǐakpɔ nɔnɔmetata sia,agbalẽ sia hã nyo"
"the state organization that is Télé Tchad needs an observer to make people understand what the baptismal foundations of this television are. ""","egbe ne mele vinye nyɔnu kpɔm wole alɔ̃ dɔm la, medoa gbe ɖa na mawu be woana ŋusẽ kple nyati sie dze mate ŋu aɖe nu si lɔlɔ̃ nye kple menye o la gɔme nae nyuie"
The nanny continued to advance slowly until the water came to her chest.,Mami la nɔ zɔzɔm ɖɔɖɔɖɔ vaseɖe esime tsia ɖo akɔta nae.
My whole family is going to starve!,Dɔwuame le ƒonyemea takã wu ge.
"The money that I took pleasure in counting every evening before falling asleep,",ho si mexlẽna ɣesiayi hafi mlɔ anyi
"I will always love him, dear friends","malɔe ɖaa, xɔ̃nyewo"
"You had to pick up immediately and reassure her, if you plan to have a pleasant evening","ne medzi be nye ɣetrɔa nanyo la, edze be maɖo eŋu kpooo"
I repeat my sentence,megagblɔ nyanyea
And you had to repeat the operation two or three times during the day,eye nawɔ esia zi eve alo etɔ̃ le ŋkekea me
"At one time, a girl on a bicycle disgraced her family because her skirts would be seen while she pedaled,",Le ɣeyiyiaɖeme vayi la nyɔnuvi ƒe keke kuku medea bubu eƒe ƒomela ŋu o elabe wodoa kpoyɛkpoyɛ yiadzi
"Thank God this time I didn't really have any problems like the first time,",akpe na Mawu be nye megaɖo kuxi abe zi gbãtɔ ene o
»At what point did he become this mini-man who now knows how to say “please” and “thank you” without being called to order,ɣe ka ɣie wozu ame sie nya alesi si wo:dea kuku alo daa akpe le esime womega fianae oa
Learning about the past could help us better understand the present and better prepare for the future,tsɔmenyanya ana miawɔ egbe ŋu nyuie hena tsɔ sigbɔna dzadzraɖo
So see you at Day 18 in shaa Allah,miado go le ŋkeke 18 lia gbee ne allah lɔ ko
"Hello my daughter,",ŋdi vinyenyɔnu
And I will say thank you,mada akpe na wo
I did not understand the need to create a specifically Islamic school of excellence,nyemese esiawɔwɔ gɔme gobii o
Sorry if Hervé comes back to every sentence,"mits,oe kem ne mele hervé ŋkɔ yɔm"
My father didn't understand either when I told him that I was going to leave IBSA to devote myself to the Eulis Center and my blog.,tɔnye hã mese eme esi mebe madzo le IBSA ahe wɔ yaʋaladɔ kple eulisdɔ o
"Thanks again to the CIE, Jeunesse Créa, Team 2A-D, and all those people who support me without expecting anything in return,","medakpe na  CIE, Jeunesse Créa, Team 2A-D kple amesiwo katã kpeɖe ŋunye megbe makpɔmakpɔ tɔe"
""" » comment * name * JavaScript is currently disabled.",alee kee
I've received so many threats from my other friends because of you that I don't know if I should really continue talking about you,xɔ̃nye sɔgbɔ tsɔ nya le ŋunye ɖe ta wo alebe nyemenya ne magaƒo  u tso ŋu wo o
"“Thank you! The impact of these churches, and especially of the preachers, is minimized by the majority, yet the problem is very real.”",kuɣi la li gake amewo menya mawunyagblɔlawo ƒe dɔ ƒe asixɔxɔ o
"Dibahou is the paébou, the court chief of his family,",Dibahou nye paébou  tatɔ na eƒe ƒomea
Photo: A Perfect Heart comment * name * We're making a big deal about this accident but let's look at the dark thing with hindsight.,míawo katã míele asi lim afɔkunya sia ŋu gake mina míayi míaɖouiwo me le eŋu
email * website * Good evening Mrs.,"naneke mefia be mavan,o yaʋalanu ŋlɔm o"
comment * name * I have too often been criticized for criticizing and doing nothing other than criticizing what is decided in Chad.,comment * name wogblɔa nam be nyemewɔa naneke wu be matsitre ɖe nyametsotso siwo katã wowɔa le Tchad le ŋu o
I really don't understand why we give such information without the slightest explanation.,nukata woɖe nu sia fia esime womena gɔmeɖeɖe aɖeke oa
"No matter the situation, Doka always manages to call on Wednesday afternoon","meka nu sie le dzɔdzɔm o la, Doka yɔna kuɖa sia kuɖa ɣetrɔ kokoko"
"She couldn't have done it if I hadn't used the same name everywhere,",mateŋu wɔ esia ne nye mezã ŋukɔ ɖeka le afimawo katã o
I understand everything,mese egɔme fifia
Thanks and farewell to a glorious pyrotechnician in the club’s history,akpedada kple bubu na agedola gãtɔwp dometɔ ɖeka
"Thank you to all those people who continue to inspire and encourage me,",akpe na amesiwo katã kpɔtɔ le ŋusẽ domem kple siwo nye kpɔɖeŋu nam
"I did not return the greeting to my mother, who welcomed me",nyemeɖo nɔnye ƒe woezɔ doname ŋu o
"This morning we are in the doctor's office,",miele dɔyɔla ƒe buro ŋdi sia
The love between a young woman from a wealthy family and a university professor with revolutionary ideas,lɔlɔ̃ le ɖetugbui aɖe si tso gatɔƒome me kple suku kɔkɔ nufiala aɖe si si tɔtrɔ yeye susuwo le la dome
"What I did, I did it as a reaction because there were words that did not please me on the other side,” he said.","nu si mewɔ la, mewɔ hena ŋuɖoɖo nu si tso afi kemɛ lɔm lae"
"For a story of pride, brothers from the same religious brotherhood and the same family rejected one of their own,","ɖe dada ɖe ŋutinya ta la, habɔbɔ ɖeka kple ƒome ɖeka me nɔlawo gbe wo nɔovi ɖeka"
"With my family's political leanings, I really didn't imagine that one of my brothers would marry a woman from the Bété people,","ɖe ƒonyeme ƒe dunyagblɔgblɔ susuwo ta la, nye me susu be nɔvinyewo dometɔ ɖeka ateŋu aɖe Bété nyɔnu o"
"In this era of working parents who feel guilty, please share the guilt equally,","ke le dziladɔwɔlawo siwo kpɔa be yewo dze agɔ la, taflatsɛ mina woanyae be amesiame vodadae"
"We also learned how to produce a magazine thanks to an issue of Planète Okapi,",mesrɔ̃ alesi hã alesi hã miawɔ nya dzɔdzɔ gbãlɛ to Planète Okapi ƒe agbãlɛ aɖe dzi
"Those for whom you have been a beacon, a Brother, a Friend, a Guide, a Companion, a Partner","ame siwo nenye kekeli, xɔ̃, kplɔla kple hadɔwɔla na"
The article lets me understand that I have been understood.,eye agbalẽa ɖea fiam be nye nyawo mekɔ
But I understood once again why we put so much emphasis on the Mercy of our Creator,ke mese nu si ta wotea gbe ɖe mia wɔla ƒe nublanuikpɔkpɔ dzie
"“years have passed since you left, until now I have not yet said Goodbye to you, at least not in my own way.”",ƒe geɖewo enye esia esi nedzo gake nyeŋutɔ nyemedo hede nyui nawò haɖe l
"Every morning he went hunting, searching the entire bush in vain.",Ŋdi sia ŋdi la eyia adegbe ɖia tsa le avea katã me gake kpao.
"And thanks to Ruth, the children learned all the Sustainable Development Goals in English",Eye Ruth na wosrɔ taɖodzinuawo katã le ɛŋlisigbe me
"History of reconnecting with oneself, one's family, nature, the essential,","alebe miakpɔ miaɖokui, ƒome, xexeame kple nusi le vevie la gbɔ"
"Mariko, please stop killing animals like you do.","Mariko, dzudzɔ lãwo wuwu alea."
"And on an individual level, in our family circle",eye ame sia ame nawɔe le eƒe ƒome me
Reading “Sealed Nectar” was important for me to better understand my religion and the Prophet Muhammad (saw),agbalẽ sia xexlẽ na menya xɔsea kple profeta la nyuie
"Well, I guess they're just friends",mebui be nenemae
We are always proud of these friends who dare to take the step,ne xɔ̃wo aɖe le afɔ sia ɖem la dzidzɔ wonye na
"I was telling one of my friends that in 2016, I had a lot of pain because my period came on the 27th night of Ramadan",megblɔ na xɔ̃nye ɖeka be mekpɔ dziku le ƒè 2016 lia me elabe nye asiɖoanyi va le zã 27 lia me tututu
"But thanks to his new coach and his determination, Agassi won the Roland Garros final in 1999,",gake kple nufiala yéyé la ekpɔ dzi ɖuɖu le Roland Garros le 1999 lia me
"I told him that he was a brother to me, my best friend, that nothing could happen between us beyond friendship","megblɔ nae be fofo wonye nam, xɔ̃nye eye naneke mate ŋu adzɔ le mia dome ŋu xɔ̃ o"
These Facebook pages created real communities and we could end up making friends with other readers.,facebookyaʋaladzinu siawo na be mieɖo kadede me kple nuxlẽla bubu woe
"Come, we’re going to have fun with the family,” we can read on the comedian’s page this Tuesday, September 22, 2020.",miva miakpɔ dzidzɔ enye nya si nukokuidonamela la ŋlɔ le efe facebook le anyɔnyɔ 22 lia dzie
I do not accept that the people of Marseille are victims of political decisions that no one can understand,nyemalɔ̃ be Marseilletɔwo nanye gbɔ ayi asi na politikiɖoɖo aɖeke i gɔme ame aɖeke mese o
The three friends,Xɔlɔ etɔawo
"Please enlighten me on the subject,",meɖekuku be miakɔ nya sia me nam
Olanna is the type to try to please others,Olanna dzi be yeadze ame ŋu
"Thanks to Allah for this incredible experience,",akpe na Mawu ɖe numetoto sia ta
"their aunts, their neighbors and even their fathers! name * JavaScript is currently disabled. """,wo fiavi sie na nedzo elabena nyɔnu ko dzim nele la
"– take care not to damage any furniture, equipment and supports during the cleaning process",kpɔ egbɔ be megagba nu siwo ɖo atsyɔ̃ na teƒea ƒe ɖeke o
"The head of the family is himself called Baba Segi in reference to his first daughter,",woyɔa ƒome tatɔ hã ŋutɔ be baba segi na sɔli dodo via gbãtɔ
"There was no question of him abandoning some of his habits to please his wife,",mele nae be woaɖe asi le eƒe agbenɔnɔ ɖewo ŋu be yeado dzidzɔ na srɔ̃a o
"“But have we understood that”? Will we stop overloading taxis, elevators, trains, motorbikes etc.? ""","ke ɖe míese egɔme be ele vevie be míadzidzɔ agbadodo gbɔ eme na míaƒe ʋuwo,dzokekewo,ketekewo kple bubuwo......."
"He asks me my name,",ebia ŋukɔnye
I understood what that meant,mese esia gɔme
It's easy to understand why few civil servants want to stay in small towns.,miese egɔme nu si tae dudɔwɔla sɔgbɔ melɔ̃na duviwo me nɔnɔ o ɖo la
"Students who understand faster will not be delayed by others,",sukuvi siwo sea nu gɔme kaba la magahe ɖe megbe o
I hated it just as much when he tried to get family news,evenam ne ele ƒomea ta biam se
"The people of the commune are grateful to the heads of state,",nutoa me tɔwo te alilɔ na dumegã
Thank you for this much appreciated contribution! Thank you Fabrice.,"akpe ɖe wò nyatsɔkpenyawo  ta,Fabrice"
"All this with the aim of helping our economy and supporting our farmers and producers""€¦!!! Thank you Anne Marie C.",Anne Marie C. Akpe na wò ɖe wò kpekpeɖeŋu si nèwɔ na míaƒe gbledede kple ganyawo la
"But hearing him at dawn preaching salvation through Jesus Christ of Nazareth, I understood that I had indeed returned home,","gake esi mese le fɔŋli sia wole Yesu Christo ƒe nya gblɔm la, menya be meva ɖo aƒe"
"“I take care of everything at home, sometimes I even wonder why we’re getting married!” she says with a burst of laughter. ""","nye kpɔ nuwo katã gbɔ le aƒe la me ,ɣe aɖewo ɣi la ,mebiaa ɖokuinye se be nukata woɖea srɔ̃ mahã?"
"The usual greetings will be received in the church square,",Asinanakɔnuawo woayi edzi le agbadɔa mɔ nu
"But as the appetite comes with eating, the family would always need the money from Sidiki Diabaté","eye esime detsi ivie xea kplɔ ta la, ƒomea gale sidiki ƒe ga dzim kokoko"
You must then comply with the thousand and one rules imposed by the men of your family and your community.,ɖeko naƒoƒu ɖokuiwo ɖe se akpe akpe siwo wo ƒomeŋutsuwo ɖo ɖi la te
"Faced with the enmity of his colleagues at Shell Côte d'Ivoire and thanks to the encouragement of some of his friends, Mr.","esi wole eyome tim leshell ta eye ɖe xɔ̃a aɖewo ƒe ŋusẽdoame ta, aƒetɔ"
I am always grateful to have loved ones with whom I can talk about doubts,mekpɔ dzidzɔ be amewo li sie memaa nye ɖikekewo kplie
"Thomas, professor of Sciences-Physics at the Collège Moderne de Mahapleu, told me that he would be happy to welcome me to his home.",Thomas si nye nuƒoxlame fiala le Mahpleu titina sukua me la be anye dzidzɔ na ye be mava yegbɔ
A good friend of your father,tɔ́wo xɔ̃lɔ̃ vevie wonye
It was his cousin who wanted to know what time he planned to return because he had to go clubbing with friends,Enɔviae le dzidzim be yeanya gaƒoƒo si dzi wole gbɔgbɔ ge elabena ele zãɖakame yige kple etɔwo
So I work to be able to organize all these activities and take care of myself with a minimum,Esia ta mele dɔ wɔm hena nusiawo katã gbɔ kpɔkpɔ kple ŋye ŋutɔ ɖokui nye gbɔ kpɔkpɔ
"Thanks to my cunning and skill, I captured a singing turtle.","Le nye nunya kple aɖaŋudzedze me la, mele klo aɖe si dzia ha gbɔe."
Some people did not understand that these key expressions had nothing to do with free laptops or the latest tractors.,ame aɖewo mese egɔme o be  kadede aɖeke mele nusiawo katã me o
"“Please know how powerful your voice and presence are and never stop sharing these gifts with others,”","« Please know how powerful your voice and presence are and never stop sharing these gifts with others »,"
"“By the grace of God, I have a devoted family and awesome friends who lend a helping hand here and there.”","to Mawu ƒe qlɔdo me la ,ƒometɔwo kple xɔlɔ̃wo wɔa kpekpeɖeŋu geɖe nam"
Read a man up to the task 1Read a man up to the task 2“Good evening sir,mixlẽ un homme à la hauteur 1 kple un homme à la hauteur 2 fiɛ na wo aƒetɔ
"I said “good evening” to your mother, before taking you in my arms, and making you the faces that make you laugh so much",medo gbe na nɔwo hafi kɔwo hedze dzefefe siwo doa nukokui na wo la gɔmee
"Maeva is one of the incredible people I had the chance to know thanks to social networks,",Maeva ame tɔxɛwo dometɔ ɖeka si me nya to yaʋalawo dzi
You are the family members of Madame Kouassi Amoin Alice Sephora,miawoe nye aƒenɔ Kouassi Amoin Alice Sephora ƒometɔa
"After six successful seasons, Lionel Messi's friend leaves with a heavy heart","le ƒè adẽ siwo me woɖu dzi geɖe la, lionel messi xɔ̃ la dzoe"
"In a Nigeria of the 80s and 90s which advocated birth control, Mr Agwu decided to have a large family,","le ƒe 80-90 mela, esime Nigeria ɖoe be woaɖiɖi vi dzidzi la, aƒetɔ Agwu ɖoe be yeado ƒome gãɖe"
Maybe a little less because I will build my family but you can always count on me,ate ŋu anye be esia aɖiɖi vie elabe nye hã mado nye ƒome gake ne ehiãm la akpɔm
"""To say that a student doesn't need anything other than Office is to misunderstand their needs.""",mienyaa sukukɔkɔdela ƒe hihiãwo tae miegblɔa be womehiã naɖeke to vovo na Office o
"So thank you for helping me carry the heavy burden of introducing the world to the young people of Yopougon,",ke medakpe be miekpeɖe ŋunye metsɔ agba kpekpe sia eye be mena Yopougon sɔhɛwo dzesi xexe
She didn't understand my choice and that was completely normal.,mese nye tsatsia la me o eye mese egɔme nae
The little hare thanked his friend by saying:,"Fɔmizia gblɔna xɔa kple akpedada be,"
"Finally, this evening, I want to express my gratitude to Al-Khaliq, the Creator",ye metsɔ nye akpedadawo katã na Allah mia ɖola la
"– Hello Audrey, how are you doing",Medogbe Audrey ale ke nefɔ ɖoe?
She adds that she was finally able to see her father this morning and that he has already taken the bus to return to Abidjan.,egblɔ kpe ɖe eŋu hã be yedze fofoa dzi ŋdi sia eye eya hã dzeʋu me gbɔna xoxo
"The children came every morning from 10 a.m. to 12 p.m., and afternoons from 2 p.m. to 5 p.m.,",ɖeviawo va na ŋdi sia ŋdi tso 10h yi 12h eye tso 14h yi 17h le ɣetrɔ me
"In the evening of one's life, one becomes exhausted more quickly, as I am now","leagbeanuwuwu la, nu tsia kɔ na ame kaba abe ale si wole wɔyem fifia ene"
"Michael is convinced of his father's innocence and the two ex-friends decide to make a deal,",Michael kaɖe tɔa ƒe fɔ̃ɖiɖi ŋu eye xlɔ̃ xoxo eveawo ɖoe be ye woa ƒo se
"When I was born, my whole family went to the Catholic church","esi wodim la, ƒomea katã dea katoliko sɔleme"
"Dad forced my older sister, my nephew and me every evening to study,",tɔnye zia nye kple nɔvinye dzi ɣetrɔ sia ɣetrɔ na nusɔsrɔ̃
"A long, long time ago (yes it was at the beginning of the world) three friends: the vulture, the hornbill and the hen fell ill.","Tsã xoxo le blema,xexea ƒe gɔmedzedze me la, xɔlɔ etɔ, kãga, kalao kple koklo wodze dɔ."
"Please don't distort yourself to please,",migtarɔ mia ɖokui adze ameŋu o
"It is in the family that values ​​are instilled in them from the first years of their life which should serve as a reference for them. """,wogbesese na dzi dzea eme nam
Christine is my best friend,Christine nye xɔ̃nye vevitɔ
"“Hello, it’s Mrs. Kouassi","allô, aƒenɔ Kouassi yea"
"She saw my name and googled me,",ekpɔ ŋkɔ nye eye wodim to google di
"“If I understood correctly, that’s the definition of marital rape, right?",nu sia kuɖe miade akɔdasewo ŋu. Dumevi ɖe sia ɖe sie xɔ ƒè... Ate ŋu ayi akɔdaƒe faa
"Some told him that they didn't think they would ever understand some of the concepts he explained,",ameaɖewo gblɔ be yéwo mesusu be yéwoase eƒe nu aɖewo gɔme ɖeɖe gbe ɖeka o
"Please help me load my goods,","Taflatse, kpeɖeŋu nye maɖɔli nye asigbãa"
"On the evening of the wake, the palace was overflowing with people.","Ɣetrɔ si wole ŋudɔdɔa wɔge la, fiasa la yɔ fuu kple amewo."
"It is once again because or rather thanks to Lalla that I bought €œSelf-portrait of the author as a long-distance runner€,",eye to Lalla dzi kee meto ƒle «Autoportrait»
"On Friday afternoon, the body was collected at the Korhogo morgue followed by the requiem mass.",fiɖa ɣétrɔ nye ŋutilã kukua kɔkɔ le korhogo kple tsɔtsi wɔwɔ le emegbe
"They still give themselves the luxury of coming to share their knowledge every Saturday morning with a group of very excited children,",ke woɖoe ɖe woɖokui dzi yewoa manu kple ɖeviwo le memleɖawogbe
But I'm tired of hearing you repeat the same things,nyemegale didim be mase nya ɖeka ma ke o
"He talked to us about the weather, the population, his family, his kids, stories of broken hearts,","Eƒonu na mi kuɖe yaƒoƒo, dumetɔwo, eƒe ƒome, eƒe xotunya dzigbãwo ŋu"
"She withdrew her complaint following pressure from Moha La Squale and her family,” he reported.",wokɔkɔ mɛta 40le anyigba gbɔ eye wodzidzime katã le mɛta 350
"Why don't you go start your own family instead of spending your time eating my brother's rice and wearing out his sheets,",nukata meyi ɖa do ƒome anɔte nɔvi ƒe mɔlu ɖuɖu kple eƒe abadi vɔwo zazã
"Only family is allowed,",.Fomea koe woɖe mɔ na
"They will have no other reaction than a sigh, and a sorry look.",nu bubu meli be woatso humm aɖo nublanui mo o
"These are the shrouds offered by family and friends,",enye ameɖivɔ si ƒome la kle xlɔ̃wo na
"“For my part, I think that without it being so, the thousand franc note given as a thank you is a corruptive tactic”€¦ However “€¦.”",mesusu be ga home frã akpe ɖeka si wòtsɔ nae la nye zãnuɖuɖu ƒe nɔnɔme aɖe
"also, if our goal is to please men rather than God, there is something wrong,","Ne nye be miaƒe tamesusue nye be miadze agbetɔwo ŋu wu Mawu la, ekema naɖe mele yiyim nyui o"
"""""» No difference with the case of the man who has several rights and duties towards his wife and family.",enye dzɔgbevɔ̃e la ƒe dzɔtsoƒe eye woxea mɔ na ame le Mawu ƒe fetu na ame la ŋu
A book that leads us to turn our gaze towards these women and young girls who are murdered in the name of family honor,eɖe ale si wowua nyɔnu kple ɖetugbuiwo le ƒome ƒe dzedze ta
This investigation is one of multiple legal fronts concerning Donald Trump and his family,"numekukusia nye ɖeka le ʋɔnudr,onya siwo le trump kple eƒe ƒomea dzie"
"If you have a large family, some scenes will probably be familiar to you,","ne miele ƒome sɔgbɔ mela, miateŋu nya naɖewo"
I recommend the “Quartz Africa Weekly Brief” newsletter received in emails every Sunday morning.,"mebia tso woasi be woaxle  newsletter de"" Quartz Africa Weekly Brief si kɔsiɖa ƒe email la me"
"“Leaving your family to join a new one, more united, where faith is shared.”",akple ame ƒe ƒometɔ ɖi aɖage ɖe ƒome bubu sime ɖekawɔwɔ kple xɔse le
A tendency that other members of the family also hate,nu sia ɖea fu na ƒometɔ mlɔeawo hã
"Don't wait for me tonight, my love, because I really want to hang out with my friends",megatɔ́ te kpɔm ɣetrɔ sia o elabe medibe manɔ xɔ̃nyewo gbɔ vie fiɛ̃ sia
"Her grandfather is dying and her convalescing mother begs her to go and support the family in England,",Tɔgbuia le kukum eye nɔa si le dɔ badzi la ɖe kuku nɛ be woava kpe ɖe ƒomea ŋu le Angleterre
"Hello auntie,",nɔɖi ŋdi
»Others will not always understand our intentions,ame bubuwo mate ŋu ase mia susuwo gɔme o
So thank you for drawing attention to this very basic fact (let's talk) but very important.,"akpe be nehe míaƒe susu va nusia dzi be míƒo nu le eŋu,ele vevie"
"Yes, he understood that she had just come back from work, but she could definitely make an effort",ɛ̃e ese egɔme be egbɔ tso dɔme gake ate ŋu ado ŋusẽ nu vie
Hamad came from a modest family,Hamad tso wɔmenɔƒome aɖe me
Kalilou did not answer but left the next morning on his trip.,"Kalilu meɖo nya aɖe nu nae o, boŋ efɔ ŋdi hezɔ mɔ."
"2- Google the person I often do Google searches of my name,",mewɔa numekuku kuɖe nye ŋukɔ ŋu to Google dzi
"I repeat to myself internally,",menɔ gbɔgblɔm le ɖokuinye me be
"Salman had given himself a year to manage to support Khan Academy and have enough to support his family,",Salman na ƒe ɖeka eɖokui be yé ana Khan Academy na yi ŋugɔ eye be yé akpɔ eƒe ƒome dzi to gadimɔnuwo dzi
