english,ewe
I've been sitting in the restaurant for five minutes,miniti atɔe nye esia mele nuɖuƒe la
David told me to pay attention and that it might be my bus,David gblɔ nam be maɖo ŋu ɖo elabe ate ŋu anye nye ʋu la
When I sold yam fries,esi metɔa koliko hedzranae
"This story does not concern me, but I couldn't help hailing a taxi to accompany Madame Kouassi",nya sia mekam o gake ɖeko nyehã meyɔ tagzi hekplɔ aƒenɔ Kouassi ɖo
"Around eleven o'clock, the Koba antelope arrived to drink from the fire rock.","Le ga wuiɖekɛ lɔƒo la, sea va tsi noge le tɔa ƒe agakpe la gbɔ."
"In addition, tomato puree is positioned as an alternative to a product that has since become increasingly criticized...",ke timati tutu la va abe xɔnametɔ ene le xoxotɔ si ta amewo le ɣli dom le la gbɔ
"“But have we understood that”? Will we stop overloading taxis, elevators, trains, motorbikes etc.? ""","ke ɖe míese egɔme be ele vevie be míadzidzɔ agbadodo gbɔ eme na míaƒe ʋuwo,dzokekewo,ketekewo kple bubuwo......."
But the third fruit came and hit the lion on its royal snout!,Ke kutsetse etɔlia vadze ƒe nugbɔ siŋu bubu le la.
"Today it also has a hotel on the waterfront and is one of the island's references,",egbela eɖo amedzrodzeƒe aɖe ɖe tɔa to si nye kpɔɖeŋu le afima
"I want him to buy me white lily flowers and make me laugh,",medi be neƒlẽ Lys Blanches seƒoƒowo nam eye woana makonu
Article 1: Let no one come and ask me for food.,"Se gbãtɔ, Ameɖeke megava biam nuɖuɖu o."
SolarCity intervenes in Tesla car charging stations and was bought by it,Solarcity naa kpekpeɖeŋu le Tedslaʋuwo dzodemeƒewo eye Tesla va ƒlee
"When the merchant returns, she said to herself, he will find the money instead of the canary.","Ne nudzrala va la, ele ga kpɔge le zevia teƒea. Esusu nenema."
"""""Indeed, as always, there is an entire industry that makes money off the desperation of others. ""","le nyateƒe me la ,amehatsotso aɖewo li siwo le hotsui kpɔm to amewo ƒe dziɖe le ameƒo nɔnɔme si me wole la"
"But as the appetite comes with eating, the family would always need the money from Sidiki Diabaté","eye esime detsi ivie xea kplɔ ta la, ƒomea gale sidiki ƒe ga dzim kokoko"
I figured the need to pay taxes would force me to look for ways to generate profits,amlɔkɔexexe ana be madi ga na dɔw;;fea
"My huge arms allow me to earn more money than any man in this village will ever see in his entire life,",nye abɔ gãwo na mekpɔ ho si ŋutsu aɖeke makpɔ le kɔƒe sia me o
"at length in fact, since I was still present when she began to distribute the food into various containers","dzidzie, elabe menɔ anyi hafi wole nuawo kam de agbawo me"
"He kept saying how much he missed my food, how poorly he ate since I left, and other nonsense like that.",ebe nye nuɖuɖu dzo ye eye yemegaɖu nu nyuie alea kpɔ tso esime medzo o kple lãnya bubuwo
"Guys, it's not that it's expensive, it's me who's not the target","menye ɖee woxɔ asi o, ke boŋ menye wowɔe na o"
onsommer Local is found in markets not supermarkets!,ŋuɖoɖo sie menana ame siwo lɔ̃am lae nye esi
"The environment, the personnel, the tools used, all this costs enormously,","nuƒoxlãwo, nufialawo, dɔ wɔnuwo esiawo katã xɔ ti ŋutɔ"
"I could settle for working, having money, reading, eating and traveling as much as possible,","madzro ko be mawɔ dɔ, akpɔ hotsui, axlẽ nu, aɖunu eye mazɔ̃ mɔ alesi medi"
She could have even invited him to the restaurant,ate ŋu akpee va nuɖuƒe hã faa
"Created on August 23, 2005, this private school has the lowest costs of the area",woʒu suku sia le dasiamime 23 lia dzi le ƒè 2005 me eye mexɔ ga sɔgbɔ o
"On the other side of the street, Fred, sitting in the front of his shop, recognized my mother, and rushed to meet us.",fred si nɔ eƒe fiasemɔnu le mɔa godo la kpɔ dada dzesi eye wova kpe mí
"It is only at the end of the day that the phone of Guillermo, Head of Staff of the hotel, rings: It’s Madame Philomène","ɣetrɔme hafi aƒenɔ Philomene yɔ Guillermo, dɔwɔladzikpɔla la"
"This is not the story of a young girl who was forced to sell her body,",menye ɖetugbuivi ŋutinya ɖe si dzi wote ɖo be woawɔ ahasi o
"The money raised will be used to help children with their education and to finance art workshops at the Eulis Center,",ho siwo miaxɔ akpeɖe miaŋu miaxe ɖeviawo ƒe suku fe kple aɖaŋu nu wɔwɔ le centre eulis
"How am I doing, when I decide to buy cheese and pickles, instead of buying our mother's medicine?",aleke manɔ ne megbe dada ƒe atsiwo ƒeƒle heyi ɖa ƒle numevivi na ɖokuinye mahã
"Maybe once I'm married I'll buy books in pairs so my husband and I can read and laugh together,","ɖewohĩ ne me ɖe srɔ̃ la, maƒlẽna agbãlɛ eve alebe nye kple srɔ̃nye miateŋu xlee eye akonu ɖe du"
Mark Zuckerberg's company has just put an end to it in an email sent to its customers,Markzukenberg ƒe adzɔa wu enu le lɛta aɖe si wona eƒe asisinɔwoe la me
Jim CollinsWe often hear about the importance of having a vision and the people who buy into that vision,ebe ele vevie be taɖodzinu nanɔ miasi kple ame siwo alɔ̃ ɖe esia dzi hã
"During our little trip to the market, sellers asked if Chouchou was my mother","esi mieyi asime la, nudzralawo bui be nɔnyee"
Zu!!!! Jessica lack of money in itself is not the problem.,me gamanɔamesie nye nya o
"The first minutes of shock passed, I thought about eating my condiment bread,","miniti sesẽawo megbe la, mesusu be maɖu nye abolo"
"He knew I was there, but paid me no attention",enya be meva ke hã meke nu de eme nam o
Airbnb: Cape Coast / Accra / Lomé Hotel Résidence les Cocotiers: Cotonou,Airbnb : Cape Coast  / Accra / Lomé Hôtel Résidence les Cocotiers : Cotonou
The water spirits of this place are called “mousous”.,Woyɔa teƒe ma ƒe tɔmevoduawo be Mamiwo.
"We have to leave if we want to find a taxi,","Ne míe be míakpɔ ʋu la, ele be míadzo"
"At that moment, my phone began to vibrate once again in my bag.",ɣeyiɣi sia tututu nye kaƒomɔp dze ʋuʋum le kpɛtɛa me
"I don't think I lacked courage when I held the door for her during our outings, or carried her bag when she was exhausted.",nyemenye gbɔdzɔgbɔdzɔtɔ esi meʋua ʋɔ nae ne miedo alo esi mexɔa eƒe kpɛte ne nu tsi kɔ nae la o
"I want him to buy me books that he himself liked, with some notes on the first page, about his relationship with the book,",medi be naƒle agbãlɛ siwo wolɔ̃ kple nuŋɔŋlɔ aɖewo si aɖe eƒe kadodo kple agbãlɛ
"You have to run and buy these drugs and you come back,",Miƒudzu ƒle atike siawo ne míava
"It is once again because or rather thanks to Lalla that I bought €œSelf-portrait of the author as a long-distance runner€,",eye to Lalla dzi kee meto ƒle «Autoportrait»
His ‘cash talk’ earns him both admirers and critics,esiae nye nusɔsrɔ̃ nyuitɔ si ŋu mi kple eve miekpɔ dzidzɔ le
"Why don't you go start your own family instead of spending your time eating my brother's rice and wearing out his sheets,",nukata meyi ɖa do ƒome anɔte nɔvi ƒe mɔlu ɖuɖu kple eƒe abadi vɔwo zazã
"No, she had nothing against paying for two",mevee be woatu wokple ve fea o
Kadio-Morokro to pay when he could,aƒetɔ kadio na xe fea ne ekpɔ ga ko
"She will want me to come over to her place to drink some fruit juice, or eat something",abe mavano atikutsetsetsi alo aɖu nane le ye gbɔ
"In the end, with everyone's contributions, and what we already had available, this camp cost around 50,000 euros.","le nuwuwu la, kple amewo ƒe alɔdo kpakple nusi le miasi la mɔkeke sia xɔ franc 50000"
We must also pay particular attention to our relationships with others.,miedɔ la tsɔ belele tɔhɛ ana kadede si nɔa mi kple miatɔwo dome la
"In November, we will pay a visit to the children living in the civil prison of Abidjan with their imprisoned mothers","le adeɛmekpɔxe me la, mieyina ɖe ɖevi siwo le wonɔwo gbɔ le gakpɔme le"
"It was with will and courage that he went to get her from his office, to seat her at the table of this pretty restaurant in the capital.",vevdonu woheyi kploe le dɔme yi nuɖuƒe ma
"The first manager of the hotel reported the facts as they happened, while avoiding mentioning the chambermaids.",dzikpɔla la gblɔ ale si nuawo va eme ke meyɔ xɔmedzraɖolawo ŋkɔ o
"The only acceptable way to waste your time on earth is online shopping,",mɔnu ɖeka si dzi na to agu wo ɣeyiyi le anyigbãdzi la enye nuƒeƒlẽ to yaʋalawo dzi
I discovered Scheena Donia during a competition she organized with Orange Money for African entrepreneurs.,menyae to Orange money hoʋiʋli aɖe si wowɔ na afrika dɔ;woƒeɖolawo la me
"We talk with motorcycle taxi drivers,",miele dze ɖom kple zémidjan kulawo
"She gave herself a deadline of one year to raise money and return to open a farm in her country,",etsɔ eɖokui na to yaʋala dzi ƒe ɖeka xekpɔ ga gbɔ va ɖo agble aɖe le eƒe du me
"Right next to us, a woman is removing water from a canoe,","le miaƒe akpa dzi la, nyɔnuaɖe le kpam le tɔdziʋuaɖe me"
No new cars sold in California can be equipped with a diesel or gasoline engine from 2035,ʋu yeye siwo katã woadzra le california le ƒè 2035 me la magazã petroĩdzini alo gazuwɔeli o
"In addition, the English championship no longer seems to be active on the market with a peak of activity occurring a few weeks ago.","ga wu la, ɛŋlisiawo megale dzodzom ɖe nuƒeƒle ŋu abe alesi wonɔ  va yi ene o"
