english,twi
One rebel tried to sell a gun at the border.,Otuatewfo bi bɔɔ mmɔden sɛ ɔbɛtɔn tuo wɔ ɔhye no so.
Money should not be the only reason for leaders to work hard.,Ɛnsɛ sɛ sika nkutoo na ɛma akannifo yɛ adwumaden.
The new tax discouraged the poor from the use of mobile money.,Tow foforo no maa ahiafo abam bui wɔ telefon a wokura kyin a wɔde bedi dwuma no ho.
The government needs to buy more land from people to help improve agriculture.,Ɛsɛ sɛ aban no totɔ nsase bebree firi nkurɔfoɔ hɔ de boa ma kuayɔ tu mpɔn
Fish farms should be constructed near water sources.,Ɛsɛ sɛ wosi Nsuomu nam adwuma a ben nsu a ano yɛ.
Pending payments will be worked on the coming month.,Wɔbɛyɛ akatua a ɛda hɔ no ho adwuma bosome a ɛreba no mu.
Some companies are excused from paying taxes for a given period of time.,Wɔma nnwumakuo binomial kyɛ wɔn sɛ wontua tow wɔ bere pɔtee bi mu.
The truck was stolen as soon as it was bought.,Wowiaa lɔre no bere a wɔtɔɔ no ara pɛ.
Baths were taken from a bucket dropped into water well .,Ná woguare fi bokiti bi a wɔde agu nsu abura mu mu .
The cost of building the bridge on the river is very high.,Ɛka a wɔbɔ wɔ asubɔnten no so abɔntenban no ho no yɛ kɛse yiye.
People have a ready market for agricultural produce.,Nkorɔfoɔ wɔ dwa ma wɔn kuayɛ nnoɔma.
How can we ensure proper hygiene in the market.,Yɛbɛyɛ dɛn ahwɛ ahu sɛ ahotew a ɛfata wɔ gua so.
Farmers should control their animals as people acquire income from selling their fruits.,Ɛsɛ sɛ akuafo hwɛ wɔn mmoa so efisɛ nkurɔfo nya wɔn nnuaba ho sika.
Living without clean water for a couple of days can lead to complaints by the people.,"Sɛ obi tena ase a nsu pa nni hɔ nna kakra a, ebetumi ama nkurɔfoɔ no anwiinwii."
Farmers will engage mostly into cash crop growing.,Akuafo no de wɔn ho bɛhyɛ nnɔbae a ɛbrɛ sika.
"Aryee does not have the money to buy a car, but the manager hired her out of pity as she is a single mother.","Aryee nni sika a ɔde bɛtɔ kar, nanso ɔpanyin no faa no mmɔborohunu nti efisɛ ɔyɛ ɛna a onni ɔhokafo."
The number of previous water connections request will determine your waiting time for water.,Nsuo nkitahodi dodow a woabisa dedaw no na ɛbɛkyerɛ bere a wode bɛtwɛn nsu.
Farmer group members were asked to contribute money to receive fertilizers cheaply.,Wɔka kyerɛɛ akuafo kuw mma no sɛ wɔmfa sika bi mmra na ama wɔanya ɔyɛ-asase-yiya ne bo nyɛ den.
Customer care is key for businesses that are to last long in the market.,Adetɔfo hwɛ yɛ ade titiriw ma nnwuma a ɛsɛ sɛ ɛtra hɔ kyɛ wɔ gua so.
My tenants have failed to pay their rent.,Wɔn a wɔagye me dan no antumi antua wɔn dan ka.
Money required for the completion of this project is available.,Sika a wohia na wɔde awie adwuma yi wɔ hɔ.
A bed in his shop costs only fifteen thousand cedis.,Mpa baako wɔ ne sotɔɔ mu yɛ Ghana sika side mpem dunum pɛ.
Every paper money note has a unique serial number.,Krataa biara a wɔde kyerɛw sika wɔ no namba
"People should learn to be integral, especially in issues regarding money, as honesty and transparency are crucial for financial stability and trust.","Ɛsɛ sɛ nkorɔfoɔ sua sɛ wɔbɛyɛ ade titire, ne titire wɔ nsɛm a ɛfa sika ho mu, ɛfiri sɛ nokorɛdie ne deɛ ɛda adi pefee ho hia kɛse ma sikasɛm mu ahotɔ ne ahotɔsoɔ."
People should be given alternative pieces of land.,Ɛsɛ sɛ wɔma nkorɔfoɔ asase foforɔ.
The water project takes advantage of the slope and gravity.,Nsu adwuma no de ɔkwan a ɛkɔ fam ne tumi a ɛtwe ade ba fam no di dwuma.
The lorry needs to be serviced before they can buy it.,Ɛsɛ sɛ wɔsiesie lɔre no ansa na wɔatumi atɔ.
The leader asked for accountability of the distributed food.,ɔkannifoɔ  no bisaa nsɛm faa nkontabuo a ɛfa nnuane a wɔkyekyeɛ no ho.
More people now have access to clean water than before.,Mprempren nnipa pii nya nsu pa sen kan no.
The company couldn't afford to pay the salary arrears.,Adwumakuw no antumi antua akatua a aka no.
The price of charcoal keeps on changing every year.,Fango bo kɔ so sakra afe biara.
Our teachers are on a sit down strike over pay raise.,Yɛn akyerɛkyerɛfoɔ retena fie wɔ wɔn akatua mu toɔ ho.
My brother has gone to fetch water from the tap.,Me nuabarima akɔbu nsuo afiri nsutwebea no mu.
The government is planning to add more money in constructing more classroom blocks.,Aban no pɛ sɛ wɔde sika bebree ba ma wɔde sika sukuu adesuadan ahodoɔ pii ka ho
The price of meat is determined by the butcher.,"Nam bo a wɔbɛtɔ no, nea ɔkum nam no na ɔkyerɛ."
If you take days without eating food you might die..,Sɛ wogye nna a wunnni aduan a ebia wobɛwu.
The municipal council will solicit funds to establish market stalls for fishmongers.,Mansini no kansele no bɛsrɛsrɛ sika de asi dwa de ama mpataa adwadifoɔ
Justice must prevail at all times and at all costs.,Ɛsɛ sɛ atɛntrenee di nkonim bere nyinaa ne ɔkwan biara so.
Programs that provide access for women to better markets should be started.,ɛsɛ sɛ wofi nhyehyɛe ahorow a ɛma mmea nya kwan kɔ gua pa so ase.
She spent a lot of money on the tickets to the soccer game.,ɔsɛee sika pii wɔ tekiti a wɔde bɛkɔ bɔɔlbɔ no ho
To be able to get water quickly you have to be at the borehole very early.,"Nea ɛbɛyɛ na woatumi anya nsuo ntɛm no, ɛsɛ sɛ woduru bɔɔhoo no ano anɔpa pa ara."
Commercial farming requires a bigger piece of land.,Kuadwuma a wɔde di gua hwehwɛ sɛ wonya asase kɛse.
The bus ticket will be used to pay the players' bills.,Wɔde bɔs tekiti no bedi dwuma de atua agodifo no ka.
School fees paid by parents can be used for many things in developing a school.,sukuu ka a awofo tua no betumi ayɛ nneɛma pii wɔ sukuu nkɔso mu.
"The land supports cultivation of crops such as maize, rice, guinea corn, yam, millet, sweet potato, soybean, groundnut, Bambara beans, cassava, watermelon, and many others.","Nneɛma a wɔbɛtumi adua no asase no so no binom ne aburoo, ɛmo, bayerɛ. atokoɔ, aborɔdwomaa, nkatea, adua. akyee, bankye, anamuna, ne deɛ ɛkeka ho."
There was an increase in prices of basic food Staples during the lockdown.,Nnoɔma a yɛdi no boɔ kɔɔ soro wɔ dan-mu-hyɛ berɛ no mu.
The market for food items is readily available.,Adwadie a ɛfa aduane ho no nso kɔ so berɛ nyinaa.
The vendors do not have accountability for their money.,Wɔn a wɔtɔn nneɛma no nni wɔn sika ho akontaabu.
To have much yields you need to have a big piece of land.,"Nea ɛbɛyɛ na woanya nnɔbaeɛ bebree no, ɛsɛ sɛ wonya asase kɛseɛ."
This company will provide crops and market for the farmers produce.,Saa adwumakuo de nnuaba ne edwa bɛbrɛ akuafoɔ no nnɔbaeɛ.
The person dealing in money must be very integral.,Ɛsɛ sɛ onipa a ɔde sika di gua no yɛ obi a ɔyɛ ade titiriw.
Some health centres have good customer care services.,Akwahosan asoɛe ahodoɔ bi wɔ nnwuma pa a wɔhwɛ adetɔfo so.
Conflicts between husbands and wives were paramount because women delayed on the water points.,Ná okununom ne ɔyerenom ntam ntawntawdi yɛ nea ɛho hia sen biara efisɛ na mmea kyɛ wɔ nsu no mu.
The taxi driver is blamed for over speeding causing a tyre burst hence the accident .The dead and injured people had not yet been identified by press time.,Wɔde asodi to taksikafo no so sɛ ɔde mmirika boro so ma tae bi paee enti akwanhyia no sii .Na wonnya nhuu nnipa a wɔawuwu ne wɔn a wɔapirapira no wɔ nsɛm ho amanneɛbɔ bere mu.
Money given to people by politicians should instead be used to improve community services.,Ɛsɛ sɛ wɔde sika a amammuifo de ma nkurɔfo no di dwuma mmom de ma mpɔtam hɔ nnwuma tu mpɔn.
Farmers were educated how to run a water efficient fish farm.,Wɔkyerɛɛ akuafo sɛnea wobetumi ayen nsuo mu nam wɔ ɔkwan a ɛfata so.
"The chief administrative officer berieves there is a lot of money not accounted for , and so he decides to keep the figure confidential.","The chief administrative officer berieves there is a lot of money not accounted for , na enti osi gyinae sɛ ɔbɛma akontaabu no ayɛ kokoamsɛm."
Also rivers can be a source of clean water.,Bio asubɔnten bɛtumi ayɛ beaeɛ a yɛnya nsuo pa firi.
He used some of his money to construct his home.,Ɔde ne sika no bi sii ne fie.
The market for agricultural products is available within and outside the country.,Kuadwuma ho adwadie no kɔ so wɔ ɔman yi mu ne aman foforɔ so.
He borrowed money from his father to set up a studio.,Ɔfɛm sika fii ne papa hɔ de sii studio.
We were given free food by the government during the lockdown.,Aban no maa yɛn nnuane kwa berɛ a na wɔmma kwan mma yɛmpue no mu.
A new tax has been imposed on mobile money transactions.,Wɔde tow foforo ahyɛ telefon so sika a wɔde di dwuma ho.
Leaders have gained a lot of money from the women's projects.,Akannifoɔ anya sika pii afiri mmaa no nnwuma  mu.
I have a loan debt to pay for a period of over five years.,Mewɔ bosea a ɛsɛ sɛ mitua bɛboro mfe anum.
People are paying a lot of tax to the government.,Nkorɔfoɔ retua ɛtoɔ beberee ama aban no.
"He was imprisoned for forging receipts, stating the reason for someone's imprisonment.","Wɔde no too afiase esiane sɛ ɔyɛɛ atoro nkrataa a wɔde gye sika, na ɔkaa nea enti a wɔde obi too afiase nti."
Quite a number of people have failed to pay back loans and interests.,nnipa dodow bi ntumi ntua bosea ne mfɛntom
The police officers were arrested for receiving a bribe from a taxi driver.,Wɔkyeree polisifo no sɛ wonyaa adanmude fii taksikafo bi hɔ.
"The water in her bucket poured, accidentally spilling out of the container.","Nsu a ɛwɔ ne bokiti mu no hwiee gui, na ɛhwiee fii ade a wɔde gu mu no mu wɔ akwanhyia mu."
Shops selling general merchandise were allowed to open during the lockdown.,Wɔmaa kwan ma wobuee sotɔɔ ahodoɔ a wɔtɔn nneɛma a wɔde di dwuma nyinaa wɔ bere a na wɔatoto mu no.
The payment was only done after a cry from the councillors.,Wɔyɛɛ akatua no bere a agyinatufo no teɛteɛɛm akyi nkutoo.
"People have easy accessibility to schools, health services and areas of the market.","Nkorɔfo wɔ kwan a ɛnyɛ den sɛ wɔbɛkɔ sukuu, apɔmuden ho adwumayɛbea ne mmeaeɛ a ɛwɔ dwa so."
The poor organization was as a result of not having enough money.,Ahyehyɛde a enye no fi sika a na ɛnnɔɔso.
Kukua borrows money from groups and uses it as capital for briquette making.,kukua bɔ bosea fi akuw ahodoɔ hɔ na ɔde yɛ kapital de yɛ briquette.
"Farmers are now getting new equipment to use and were taught how to learn to save their money to succeed in farming,","Mprempren akuafo no nya mfiri foforo a wɔde bedi dwuma, na wɔakyerɛ wɔn sɛnea wobesie wɔn sika adi na ama wɔatumi adi yiye wɔ wɔn mfuw mu."
People go to the market to buy goods from traders.,Nkorɔfoɔ kɔ dwam kɔtɔ nnoɔma firi adwadifoɔ nkyɛn.
He used the money to add capital in his business.,Ɔde sika no de kapital kaa n’adwuma ho.
She wants her wedding reception to be in the restaurant gardens.,Ɔpɛ sɛ n’ayeforohyia apontoɔ no yɛ adidibea turom hɔ
The district leaders solicited money from the government to help the people.,Mansini no akannifoɔ no kɔpɛɛ sika firii aban no hɔ de bɛboaa wɔn manfoɔ no.
Farmers should avoid feeding pigs on leftover food from hotels.,Ɛsɛ sɛ akuafo twe wɔn ho fi nnuan a aka ɛfri ahɔhodan mu a wɔde ma mprako no.
Some animal diseases make their meat unsafe for people's consumption.,Mmoa nyarewa bi ma wɔn nam nyɛ nea asiane biara nni ho sɛ nkurɔfo betumi adi.
There will be a training about fish farming in the town hall.,Wɔbɛyɛ nteteɛ ama sɛdeɛ wɔnyɛn nsuomnam ho wɔ kuro no asa so.
"That is a very attractive piece of cloth. How much does it cost? I would like to get one for my wife. Her birthday is coming up, and I would like for her to have a good time.","Ɛno yɛ ntama a ɛyɛ fɛ yiye. Ɛho ka yɛ ahe? Mepɛ sɛ minya bi ma me yere. N’awoda reba, na mɛpɛ sɛ ogye n’ani."
Farmers are being affected by price fluctuation of their products in the market.,Boɔ a ɛregyina faako no reha akuafo wɔ guaso.
Some students cannot afford daily transport to school so they fundraised and bought a school bus.,Asuafoɔ binom ntumi ntua kar a wɔde bɛkɔ sukuu da biara enti wɔboaboaa sika ano na wɔtɔɔ sukuu bɔs.
Bridge construction will cost over eighteen billion Ghana cedis but will promote business activities in the area.,Bridge a wɔbɛsi no bɛbɔ ka bɛboro Ghana cedis ɔpepepem dunwɔtwe nanso ɛbɛma adwumayɛ akɔ so wɔ mpɔtam hɔ.
The child has drowned in the water stream.,Abofra no amene wɔ nsu asuten no mu.
People need water extension services and proper water supplies.,Nkorɔfoɔ hia nsuo a wɔtrɛ mu nnwumadie ne nsupa a wɔde ma.
"Many of the student in Kwame Nkrumah University of Science and Technology enrolled on loan scheme , therefore they are expected to pay back the money after their education","Sukuufoɔ a wɔwɔ Kwame Nkrumah University of Science and Technology no mu pii de wɔn din hyɛɛ boseabɔ nhyehyɛeɛ mu , enti wɔhwɛ kwan sɛ wɔbɛtua sika no wɔ wɔn nwomasua akyi"
"The fight costed people expensive property, crops and a life was lost.","Ɔko no maa nnipa hweree agyapadeɛ a ɛsom bo, nnuaba ne nkwa."
How much does it cost to start a fish farm?,Ɛka ahe na wɔbɔ na wɔafi mpataa afuw ase?
The district has failed to ensure proper hygiene in the market and the district health officers asserted that toilets will be constructed in the market.,Ɔmansin no ntumi nhwɛɛ sɛ ahotew pa bɛba gua so na ɔmantam no akwahosan ho adwumayɛfo no sii so dua sɛ wobesi tiafi wɔ gua no so.
The girl complained about being denied food at home.,Abaayewa no kaa sɛ wɔmma no aduane nni wɔ fie.
"The predominant fauna or food rich wildlife and animal species encountered in the Ashanti Empire were the hen, sheep, goat, duck, turkey, rabbit, guinea fowl, fish, and the porcupine.","Mmoa anaa wuram mmoa ne mmoa ahodoɔ a wɔhyiaa wɔn wɔ Asante Ahennie no mu titire ne akokɔ, odwan, apɔnkye, dabodabo, kurokuro, adanko, guinea nnomaa, mpataa, ne kɔtɔkɔ."
Some individuals sell sandals to earn a living.,Ankorankoro binom tɔn mpaboa de nya wɔn asetrade.
"Some project leaders involved in construction projects were found to have embezzled the allocated funds, falsely claiming to have sent the funds using mobile money transactions.","Wohui sɛ adwuma no akannifo binom a wɔde wɔn ho hyɛɛ adansi adwuma mu no sɛee sika a wɔde ama no, na wodii atoro kae sɛ wɔde sika a wɔde di dwuma wɔ telefon so na ɛde sika no kɔmaa wɔn."
Each home in the district should have a food reserve.,Ɛsɛ sɛ afie biara a ɛwɔ ɔmantam no mu nya aduan a wɔde asie
The men attempting to sell a gun have been arrested.,Mmarima no a ɔpɛɛ sɛ wɔtɔn tuo no wɔakye wɔn.
The local miners sell stones and get money.,Kuro manfoɔ a wɔtu fam agudeɛ no tɔn aboɔ na wɔde nya sika.
"During the lockdown, food shops and supermarkets were allowed to operate.","Wɔ lockdown no mu no, wɔmaa aduantɔnbea ne aguadidan akɛse kwan ma wɔyɛɛ adwuma."
More equipment has been bought to scan heart conditions.,Wɔatɔ nnwinnade pii a wɔde bɛhwɛ koma tebea horow.
People have been provided with food and clothes.,Wɔama nkorɔfoɔ aduane ne ntaadeɛ.
The motorists complained of the little money from passengers.,karkafoɔ no nwiinwii dennennen faa sika ketewa a akwantufoɔ no de ma wɔn no
"In commercial agriculture, farmers sell their produce to get money.","Wɔ aguadi kuayɛ mu no, akuafo tɔn wɔn nnɔbae de nya sika."
Farmers reduced the costs incurred in removing the husk of the rice.,Akuafo no tumi tew sika a na wɔbɔ wɔ ntɛtɛ wo yi no ho.
Refugees were given food relief because it is a rainy season.,wɔmaa aguanfo aduan efisɛ ɛyɛ osutɔ bere.
The municipal council needs to carry out water extension services in other areas.,Mansini no kansele no hia sɛ wɔde nsua kɔ nkuro ahodoɔ mu wɔ mmeaeɛ nkae no.
People are always promised money each time the general elections approach.,Wɔhyɛɛ nkorɔfoɔ no bɔ sɛ wɔbɛma wɔn sika berɛ biara ɔman no nyinaa abatoɔ ɛreba so no.
The students do some bricklaying to get money for school fees.,Asukuufoɔ no yɛ birikisi adwuma binom de nya sika ma sukuu feese.
Health officers closed all dirty butchers in the district markets last week.,Akwahosan ho adwumayɛfo too namtɔnfo a wɔn ho agu fĩ nyinaa mu wɔ ɔmantam no gua ahorow so dapɛn a etwaam no.
There was poor accountability of the food relief that was distributed.,Na nkontaabuo fa aduane a wɔde maeɛ no nyɛ.
The food was distributed to the erderly and the vulnerable only.,Wɔkyekyɛɛ nnuane no mmaa wɔn a wɔn mfeɛ akɔ anim ne ahiafoɔ nko ara.
He was found guilty and arrested for misusing the market funds.,Wobuu no fɔ na wɔkyeree no sɛ ɔde gua so sika anni dwuma ɔkwammɔne so.
"On men and women, who has loves money most.","Wɔ mmarima ne mmea fam no, hena na ɔwɔ ɔdɔ ma sika kɛse."
It's very hard to find a clean community market.,Ɛyɛ den yiye sɛ wubenya mpɔtam gua a ɛhɔ tew.
People do not want to pay water bills.,Nkorɔfoɔ mpɛ sɛ wɔbɛtua wɔn nsuo ka.
Their company is the leading exporter of fresh fruits and vegetables in Ghana.,Wɔn adwumakuw no na edi kan a ɛde nnuaba ne nhabannuru a ɛyɛ foforo kɔ amannɔne wɔ Ghana.
The headteacher was arrested for asking students' money to bribe invigilators.,Wɔkyeree Sukuupanin no no sɛ ɔka kyerɛɛ asuafoɔ no sɛ wɔmfa sika mmra mma wɔmfa mma nnipa a wɔhwɛ nsɔhwɛ no soɔ no.
The new minister was arrested for embezzling government money.,Wɔkyeree ɔsomfo foforo no sɛ ɔsɛee aban sika.
"During a rainy season, people in rural areas use rain water for domestic use.","Osutɔ bere mu no, nnipa a wɔwɔ nkuraase de osutɔ nsu di dwuma wɔ fie."
Main markets are inspected for hygiene issues to ensure the cleanliness and safety of the vendors and customers.,Wɔhwɛ dwa atitire mu hwɛ sɛ ahoteɛ ho nsɛm bi wɔ hɔ de hwɛ hu sɛ adetɔnfoɔ ne adetɔfoɔ no ho tew na wɔwɔ ahobammɔ.
How can we connect the buyer to the seller?,Yɛbɛyɛ dɛn atumi de nea ɔtɔ ade no abata nea ɔtɔn no ho?
The running water caused serious damage to the school.,Nsu a ɛsen no sɛee sukuu no kɛse.
Some people use these animals for bride price.,Nnipa binom de saa mmoa yi di dwuma de gye ayeforo bo.
Chefs must put on aprons while cooking to get rid of some characters and avoid splashing dirty water on others.,Ɛsɛ sɛ aduannoafo hyɛ apron bere a wɔrenoa aduan no na ama wɔayi nnipa bi afi hɔ na wɔakwati sɛ wɔbɛpete nsu fĩ agu afoforo so.
The schools received money from the ministry of Education.,Sukuu ahorow no nyaa sika fii Nhomasua adwumayɛbea hɔ.
He advised the locals to use the money for developing their livelihoods.,Ɔtuu kurom hɔfo fo sɛ wɔmfa sika no nyɛ wɔn asetra ho adwuma.
People need better equipment for proper fish storage.,Nkorɔfoɔ hia nnwinnadeɛ a ɛyɛ na ama wɔatumi de mpataa asie yie.
Farmers face problems of accessing the areas of the market.,Akuafo no hyia nsɛnnennen wɔ baabi a wɔtɔn wɔn nnɔbae no ho.
"A pilot project is conducted to evaluate the feasibility, cost and duration of a project.","Wɔyɛ nhwehwɛmu adwuma bi de hwɛ sɛnea adwuma bi betumi ayɛ yiye, ɛho ka ne bere tenten a ɛbɛkyɛ."
Cocoa farmers are assured of a market for their produce.,Wɔma koko akuafo awerɛhyem sɛ wobenya gua a wɔde bɛtɔ wɔn nnɔbae.
People are furious over water scarcity in the area.,Nkorɔfoɔ bu afu wɔ nsuo a ɛnni mpɔtam hɔ.
National medical stores supplied drugs for human immune virus patients.,Ná ɔman no mu nnuruyɛbea ahorow de nnuru ma ayarefo a wɔanya ɔyare mmoawa a wɔko tia nyarewa no.
The minister visited the piece of land where construction will take place.,Ɔsoafoɔ no kɔɔ asase no a dwumadie no rebɛkɔ so no so.
The local governments should create simple mechanisms through which people would pay tax.,Ɛsɛ sɛ aban a ɛwɔ nkuro ahodoɔ mu no yɛ nneɛma binom a ɛbɛma nkurɔfoɔ atua wɔn toɔ.
I own two shops in the trading centre.,Mewɔ sotɔɔ abien wɔ aguadibea hɔ.
Doctors advise women to buy all items needed for safe child delivery in time.,Nnuruyɛfo tu mmea fo sɛ wɔntɔ nneɛma a wohia nyinaa na ama wɔawo abofra a ahobammɔ wom wɔ bere ano.
"Abena gave her son a sweet to calm him down, and she bathes her baby with warm water.","Abena maa ne ba no aduane dɛdɛ sɛ ɔma ne bo dwo, na ɔde nsuo a ɛyɛ hyeɛ guare ne ba no."
People have quit mobile money businesses because of a lack of customers.,Nkorɔfoɔ agyae foono sikasɛm adwuma ɛnam sɛ wɔnya wɔn adwadifoɔ nti.
The swimmer gracefully glided through the water. He completed each stroke with precision.,Osuguarefo no de fɛw faa nsu no mu. Ɔde pɛpɛɛpɛ wiee ɔhwe biara.
Some poor people consume all their money with holding back any little for savings.,Ahiafoɔ binom di wɔn sika nyinaa denam sika ketewaa biara a wɔde sie de hwehwɛ sika a wɔde sie no so.
He walks around the village every day selling the pancakes that his mother makes.,Ɔkyinkyin akuraa no ase da biara na ɔtɔn pancakes a ne maame yɛ no.
The venue for the next meeting shall be at the hotel.,Beae a wɔbɛyɛ nhyiam a edi hɔ no bɛyɛ ahɔhodan no mu.
"My cousin was charged with armed robbery, and he was arrested for trying to cash a forged cheque at the bank.","Wɔbɔɔ me wɔfase no sobo sɛ ɔde akode abɔ korɔn, na wɔkyeree no sɛ ɔrebɔ mmɔden sɛ obeyi sikakrataa a ɛnyɛ nokware wɔ sikakorabea hɔ."
At how much did you acquire your piece of land?,Wonyaa w'asase no sɛn?
Veterans are to be paid in cash as resolved by the commissioner.,Ɛsɛ sɛ wɔde sika hyɛ asraafoɔ a wɔdi ako no nsam de tua wɔn ka sɛdeɛ ɔpanin no kaeɛ no.
The whole villages gets water from the borehole.,Nkuraase no nyinaa nya nsu fi tokuru no mu.
The public should provide better pay for the youth.,Ɛsɛ sɛ ɔmanfo de akatua a eye ma mmabun no.
A woman was arrested for burning her child's fingers because of stealing food.,Wɔkyee ɔbaa bi too mu sɛ wahye ne ba nsatea ɛfiri sɛ ɔkɔ wiaa aduane nti.
Refugees have started practicing farming so as to earn a living and were advised to save money If they want to succeed in farming.,aguanfo afi ase reyɛ kua sɛnea ɛbɛyɛ a wobenya wɔn asetrade na wotuu wɔn fo sɛ wɔmfa sika nsie Sɛ wɔpɛ sɛ wodi yiye wɔ kuayɛ mu a.
It requires a lot of money to traver around the country soliciting for votes.,Egye sika pii na wɔatumi atu kwan akɔ ɔman no mu akɔhwehwɛ abatow.
He sold the young cow to his immediate neighbor.,Ɔtɔn nantwi ba no maa ne fipamfo a ɔbɛn no pɛɛ no.
Businessmen pay a lot of taxes to the government.,Aguadifoɔ tua toɔ pii ma aban no.
The way the government is providing clean water is not liked by the people,Ɔkwan a aban no rema nsuo a ɛmu te no nkorɔfoɔ no mpɛ.
Some people traver long distances to access water sources where they can fetch water from,Nnipa binom twa kwan tenten kɔ mmeae a wobetumi anya nsu afi hɔ
After all the money he had put in he didn't go through the nominations.,Sika a ɔde ahyɛ mu nyinaa akyi no wankɔ nominations no mu.
Many innovators are now focusing on creating cheaper testing alternatives.,Mprempren nnipa pii a wɔyɛ nneɛma foforɔ de wɔn adwene asi so sɛ wɔbɛyɛ akwan foforɔ a wɔfa so sɔ nneɛma hwɛ a ne bo nyɛ den.
You must buy a cultural marriage certificate for a successful introduction.,Ɛsɛ sɛ wotɔ amammerɛ mu awareɛ nkrataa sɛdeɛ ɛbɛyɛ wo nhunuanimu bɛyɛ kama.
"During the celebration on Saturday, people go around many Ga households in the Gamashie area to share the festal food with them.","Wɔ afahyɛ no mu Kwasida no, nkurɔfo kyinkyin Ga afie pii mu wɔ Gamashie mpɔtam hɔ kɔkyɛ afahyɛ no mu nnuan no kyerɛ wɔn."
My parents can not afford to buy for me books.,M’awofo ntumi ntɔ nhoma mma me.
The district leader has employed a new watchman in the market.,Ɔpanin a ɔda Mansini no ano no afa awɛmfoɔ sɛ wɔnnwɛn edwa no.
Huge sums of money have been used to improve people's lives in those areas.,Wɔde sika pii adi dwuma de ama nkurɔfo asetra atu mpɔn wɔ saa mmeae no.
The elders were happy that the money finally reached them.,"Mpanimfoɔ ani gyee sɛ awieeɛ koraa no, sika no bɛkaa wɔn nsa."
How can people in rural areas access tap water?,Ɔkwan bɛn so na nnipa a wɔwɔ nkuraase betumi anya tap mu nsu?
Most people in Kpandu buy food from market places.,Nnipa dodow no ara a wɔwɔ Kpandu tɔ nnuan fi gua so.
The cost of investment in agricultural activities is high.,Ɛka a wɔbɔ wɔ sika a wɔde hyɛ kuayɛ mu no yɛ kɛse.
Mothers should feed on good food and sleep under a treated mosquito net and go for antenatal care.,Ɛsɛ sɛ ɛnanom di aduan pa na wɔda ntontom adan a wɔayɛ no ase na wɔkɔhwɛ wɔn ho wɔ awo akyi..
Terecommunication companies organize marathons to raise money for giving back to the community,Telecommunication nnwumakuo yɛ mmirikatu a wɔde tu mmirika ho nhyehyɛe de hwehwɛ sika de san de nneɛma ma ɔmanfo
Government money should be well utilised to satisfy people's needs.,Ɛsɛ sɛ wɔde aban sika di dwuma yiye de te nkurɔfo ahiade.
