english,ewe
"That day, Trevor was sleeping with his mother and little brother when they were awakened by smoke","gbe ma gbe la, trevor kple nɔvia wonɔ alɔ̃dɔm kple wonɔ esime dzudzɔa nyɔ woe"
My reason for living is to sing,nye agbetaɖodzinue nye be madzi ha
"“At 32, am I too old",ɖee metsi akpa esi mexɔ ƒè 32 mahã
"This book is a must for all adolescents, Africans in particular,",agbãlɛ sia le vevie na sɔhɛwo katã vevietɔ africatɔwo
The man was arrested by the police around 3:15 p.m. and taken into custody for intentional violence,"kpovit,owo le ŋutsua be ewɔ aglãdzenu dzrodzroe ɖe ame ŋu"
"Now the truth was that I never managed to finish this feminist writer's book,",gake nyateƒea enye be nye mewu nyɔnu sia ƒe agbãlɛ la xexle o
The Muslims launched a military expedition to the Al-Huraqat and killed several enemies,mɔslɛmtɔwo ho aʋa ɖe Al huraqat ŋu eye wowu futɔ geɖe
The gentleman has been in front of you for two minutes and you are dreaming,miniti eve sɔŋue nye esia amea le ŋgɔwo gake dzrɔ̃e ko kum nele
"If there is anything to talk about, if there are explanations to ask, we will do that afterwards","ke ne nya aɖe kple gɔmeɖeɖe aɖe hiã la, miawɔ eŋudɔ emegbe"
"it's up to you to provoke things,",anye woe atrɔ nuwo
"And this is what makes it sometimes difficult to understand the extent of the evil that drives us. """,esiae na meinyana nu baɖa si le mia me la ƒe ɖoƒe o
This is my story!,Nye gli yenye esi
"Of not wanting someone else's body to be more beautiful, thinner, taller, more loved,","be madi ame bubu ƒe ŋutilã na tugbe dzedze, ne yeaʋe, ne yeakɔkɔ alo be woalɔ̃ye o"
"Come closer, little one, Come closer I tell you","va, ɖeviɖevi va magblɔ na wo"
"“As such, the rich white person is closer to the rich black person than to the poor person with the same skin color as him and vice versa.”",ne ele alea la yevu gatɔ tsɔɖe ameyibɔ gatɔ ŋu wu yevu ahedala alea ke wòle na ameyibɔ hã
I admit that I was amazed by what is being done at Baby Lab and what will still be done thanks to donations from the Orange foundation.,nusiwo wole wɔwɔm nyo eye egayi edzi kple nunana sia
"She wears the veil knowingly and it in no way affects her intellectual faculties,","eblata , gake esia meteɖe eƒe susu dzi o"
"In addition, the driver's side door panel tries to look good",Eye ʋukulateƒeʋɔtrua hã le dzidzimbe yeawɔ yeye
"She clenched her fists, to stop them",emia kɔ alebe yeatɔ́ esia te
"I bade him good night, then returned to the room",medo zã bɔkɔ nae heyi ɖe xɔme
"He is helped in his task by the novel's narrator, Doctor James Sheppard.",dɔkta James Sheppard si le nyawo gblɔm lae kpe eŋu
The problem is that there were quite a few elements to take into account,nya koe nye be nusi olɔ ɖe eme la sɔgbɔ
Warehouse owner said he receives used condoms once a month for cleaning,Xɔtɔ la be yexɔa kofikuku gbegblẽ siawo ɣleti sia ɣleti xeklɔa woe
The magnificent Paule-Marie has the gift of touching us through her art,Paule-Marie ƒe nutatawo hea mi
Nothing in the health situation justifies this announcement,naneke mele lãmesẽnya me ana esia o
"No matter what you think, you can fall into the traps she sets,","meka nusi susum miele, miadze eƒe mɔtatrawo me"
"In the middle of all this chaos, I also allowed myself to read, write on the blog, make a few videos and participate in events","le esiawoktã me la, mexlea nu eye meŋlɔ nu le yaʋala dzi, ɖea nɔnɔmetatawo kp bb"
"We have to get used to working regularly on projects that are close to our hearts,",midɔ la wɔdɔ na ɖoɖo siwo le vevie na mi
"This is how a society evolves,",nenemae hadomegbenɔnɔ yia ŋugɔ
Those who tried to enter perished.,Nyɔnu siwo dzea agbagba yina la wotsrɔna.
"In addition, not everyone has the means to buy books and many people depend on state structures,","gawu la, amesiame meɖo mɔnukpɔkpɔ aflẽ agbãlɛwo o, eye fiohaɖoɖowo kpɔa ame geɖewo gbɔ"
"Grow up by Ben Brooks: The book is funny,",Grow up (Grandir) Ben Brooks tɔ agbãlɛ ɖi kokoe
"He is almost always in the same position, standing, slightly hunched, with a distant gaze that I avoid meeting.",ɣe sia ɣia enɔa tsitre áxá vie eye woɖoa dzrɔ̃ekumo aɖe si nyemelɔa be makpɔ o la
The way you present or organize information can impact your audience,nyanyananaɖɔɖɔe nana amewo lea fɔ̃ ɖe nu ŋu
How many times did he delete their conversation,zi nenie metutu woƒe dzeɖoɖowo oa
Section 28,Seɖoɖo bla eve vɔ enyilia
"""email * During busy periods, travel agencies serving the different cities of Cameroon are extremely busy. ""","ne amewo sɔgbɔ la, mɔzɔdzɔ siwo yia kamalo duwo me kpɔa dɔ geɖe"
At least that's what she tells me,esiae nye nya si wogblɔna nam
"In the past, during the cold season here, animals, like men, cut wood to keep warm.","Le blema me, ne vuvo le wɔwɔm la, lãwo kple amewosiã tsoa ati he yɔa dzodzo."
"The replies are scathing,",ŋuɖoɖoawo lɔ ame
"So how is it possible for me to spoil a theme like this,",ke aleke woanye be magu tanya sia
"After the Noah border, we headed straight towards Takoradi where we stopped before continuing",le Noe dẽa tsotso megbe la miedze Takoradi afisi miegbɔ ɖe eme vie le la mɔ
“A dirty country like that! It smells bad everywhere!”€,dukplɔlatsatsiãkɔ sie woda nyitsɔ laa gale nyahem kokoko
"It comes from our experiences, from past successes",etsɔ miaƒe numetoto kple dziɖuɖu siwo vayi me
We need to be even more careful about what we say and do from this moment on,miedɔ la kpɔ nya kple nu siwo miewɔna le ɣeyiɣi mawo me la gbɔ nyuie
Remember that the heart is fertile soil for any feeling we sow there.,ɖo ŋui be dzi nye anyigba nyui aɖe si dzi nu siwo katã woƒã sdze na nyuie
Who doesn't touch her for months,eye mega kaa asi eŋu ɣleti geɖewoe nye esi
"Together we live with our mother, in the large family courtyard",miele aƒe ɖeka me kple mia nɔ
But above all I share my personal experience and my feelings,ke hã mele nye numetoto kple nye seselelãme ɖem ɖe goe
"I like novels that don't judge, that just tell,",melɔ̃ agbãlɛ siwo medrɔ̃ʋɔnu eye woɖe nya ɖe go ko
"For her, we must go beyond simple photo publications on social networks",ebe menye foto da ɖe yaʋala dzi koe nye nya o
"Even if you go out, I consider that you are present",ne wo ŋutɔ nedo hã nyea magblɔe be neva
A theme that is still relevant in 2019,Tanya sia ga le eteƒe egbe le 2019 hã
"The fact that there was a derailment in 009 in the same town, Eseka, “that no one wants to comment on”?",le esime ame siwo nye hlɔ̃dolawo la wome wɔ naneke wo oe la mee
"The year of my baptism, I also joined the liturgy team which read from the Bible during mass.","le nyemawutsileƒe me la, mege ɖe nuxlẽlawo ha me ale be manɔ nu xlẽ le misa me"
"While you wait for me to start bombarding you with it, you can already follow the Facebook page @kiyalii, and Twitter and Instagram @kiyali_","gake hafi ne esia na va emea, miate ŋu akpɔ yavala siawo Facebook @kiyalii, kple Twitter kpakple Instagram @kiyali_"
“00 GB is more than enough to cover the needs of a student.”,100 Go su na sukukɔkɔdela ƒe hiawoe
"It doesn't matter whether you are also congratulated publicly or privately, the best reward will be your personal pride,","meka be amewo kafu mi le haho me o, nunana nyuitɔ na mi anye miaƒe dzidzɔ"
"Then over the pages and chapters, I began to be really touched by the message conveyed,",ke le edzi yiyi me la eƒe teƒe aɖewo wɔ dɔ ɖe dzinye
Article 3: Disperse!,"Se etɔlia, Mikaka."
I have to get something better at all costs,makpɔ dɔ nyui bubu godoo
Fatou made space on the floor for her child who was starting to sleep.,Fatu dza teƒea ɖe ɖo na via si dze alɔdɔdɔ gɔme xoxo.
It's good me,nyee
we will compare Mingo to the fugitive,"eye esi wonye be dɔ nyui wɔwɔ dzena ɖeɖe ɖe go la,  kafukafu na ame gbãtɔ mawo si axɔ CIE dzesi le anyɔnyɔ, 21 lia ƒe 2018 lia sia me"
"“We are witnessing a form of labeling, a labeling resulting in marking and now placing the indexed elites out of the game.”",fifia wole didim be yewoaɖe ameŋkuta kemewo ɖe age
I still haven't had the courage to tell him that I've been in a relationship with his best friend for a month.,nyemete ŋu gblɔe nae be nye kple xɔ̃a vevitɔe li ɣleti ɖekae nye esia o
"She is sporty, fighter, loving and passionate,","eyne kametela, dɔ wɔla, ame lɔ̃ la"
"This is the second book she's lent me that contains words written by the same guy,",esia nye agbãlɛ evelia si wotsɔ nam sime mekpɔ ɖekakpuia ƒe nuŋɔŋlɔwo le
"Nothing is easy,",naneke mefa o
Our brains react much more to negative information than those of older adults,ɖekak̂uiwo ƒe ah;lohlɔ̃ tsɔa veve nana nyanyanana vlui wo wu ame tsitsiwo tɔ
"There were four Fulani tribes there: the Diallo, the Diakhité, the Sidibé, the Sankaré.","Tokɔ ene nɔ Fulaniawo dome. Dialowo, Diakitewo, Sidibewo, Sãkarewo."
All set to a song by Garou ““I was only waiting for you””.,esia katã le Garou ƒe hagbe sia ŋu:míawo lo lalam mele
This is even more evident when it comes to women.,eme kɔ azɔ̃ nenye be nyɔnuwoe
Several patrols immediately went to the scene after being informed of the fight,dedienɔnɔ gbɔkpɔla geɖe yi teƒea esi woyɔ o lae
"I had the desire and the strength to insult her, to hit her, and to strictly forbid her access to this house, from now on.",didi nɔ menye eye ŋusẽ le asinye be manyae ahede se nae be megava aƒe sia me azɔ̃ o
"Still, season 5 of Gomorra still does not have an official broadcast date",ke hã womena ŋkeke si dzie woadze ŋɔlĩ atɔ̃ lia ɖeɖe o
"One day, Zozani the hare, who was passing by, saw him in this state.","Gbe ɖeka, Zozani fɔmizi la to afima vayi na eye wokpɔe le nɔnɔme ma me."
"Bouki squirmed, coughed, scratched his head and whined. He could very well replace Malice, given their friendship.","Buki ŋe,kpekpe, ku ta me henɔ koenyiga. Atem yi ɖe Nudrã teƒe le wo ƒe xɔa ta."
"Her doctoral thesis no longer concerns her because she believes she has a perfect life,",eƒe Doctorat ɖaseɖigbãlɛ xɔxɔ megale vevie nae o elabena ekpɔe be yeƒe agbe le nyuie
"And when she does it, her buttocks take the time to swing as it should, I said, representing the buttocks, with both hands.","eye ne ele zɔzɔm la, eƒe meƒiwo nɔa ʋuʋum ale si dze eye metsɔ nye alɔ wɔ gbiwo"
"Every vote counts,",akɔdada ɖesiaɖe le vevie
"And also, we adapted the content a little to be closer to the desires and uses of French-speaking Africa,",eye miewɔe be nuwɔnawo naɖi africa frãsɛ duwo me ƒe dzodzrowo
"I will take care of my husband until his last breath, and I will get all my money back,",male be na srɔ̃nye va se ɖe eƒe gbɔgbɔ mamlɔe eye maxɔ nye howo katã
"“”“You think it’s the same people who will always EAT”? We're going to arrive too!” "". """,ɖe miesusu be amemawo koe anɔ nua ɖum ɖaa?nye hã megbɔna be makpɔ gome le eme
I kept it carefully for you and I hope you will do the same for your eldest daughter,meɣlae ɖi tɔxɛ na wo eye meka ɖe edzi be wo hã awɔe hena vi wo gbãtɔ
"More seriously, here's what I think: the fight against ""terrorism"" reveals a lot about the countries that face it. """,aʋahoho ɖe xlɔ̃donu wɔwɔ ŋu ɖea nu geɖe fia le dukɔ siwo le ewɔm la ŋu
It's not a bad idea,susua menyra o
"During the visit, he offered to play the drums during a praise and worship session",wona nutatagbalẽ ha eve hatsotso eve kuɖe abɔtasisi ŋu; gbãtɔ nu baɖa siwo le tetanos ŋui
"“The proof is that the sums of money involved are generally derisory, they are rarely greater than 0,000 FCFA. """,eye mesusu be amesi xɔ nu la ye woabu ƒɔ̃ wu amesi nunala la
"He is an expert in his field, has information on virtually everything and loves to share it to help others",wonye nudetonyalawo. Wonya nu kuɖe woƒe dɔƒe ŋu eye womanae kple ame bubuwo
"» At the end, she tells us about her friend Sookie, a victim of breast cancer and who invites us not to let fear kill us",emegbe eƒo nu na mi kuɖe xɔ̃a Sookie sie kãsadɔ lé anɔ na eye wole miakpem be vɔvɔ̃ megazu kú awu mi o
The Malian singer Oumou Sangaré has just sent a rather poignant message through an official letter,mali hadzila Oumou sangaré wɔnyanya nana vevie aɖe to agblẽ ŋɔŋlɔ me
"For more information, take a look at the Baby Lab Facebook page",woƒe facebook nye
"I just wanted to write to vent,",medi ko be maŋlɔ nu aɖe susu ɖa
"Don't kill me, Mariko.","Mega wum o, Mariko."
"But it is not only Internet users with 2 million followers who may encounter strong pressure,",gake menye ame milion eve siwo kplɔa wo ɖo ko dzie dzi zizĩ le o
I knocked on the door several times and came back when they didn't answer me.,meƒo ʋoa zi geɖe hafi ge ɖe eme esi womenɔ nya aɖeke ŋu ɖom nam o ta
He takes advantage of the fact that I get up to lie down better on the sofa,edzɔ nyuie boŋ le akpassa la me
The independence of justice must be a reality beyond words.,ʋɔnudrɔ̃ƒewo ƒe ɖokuisinɔnɔ manye nya le nume ɖeɖe ko o
"When it rains, the road is impassable,","Ne dzi dza la, mɔa gblẽ na"
"No risk of confusion with another election in Cameroon or elsewhere. """,tsakakatsaka ɖeke magava eme le akɔdada le kamalo kple teƒe bubuwo ke azɔ̃ o
»It came from a private property in the village where the owners turn on their television at 7 a.m.,esto aƒe sue aɖe sime emenɔlawo ɓvua woƒe televiziɔn ŋdi ga adrẽ mee
We also discover that his wife was a great support during his transition from Shell to entrepreneurship,miekpe ale si srɔ̃a hã kpe ɖe eŋu to dzodzo le shell yi dɔɖoɖome
But he's still damn good in his performances,gake enyo le eƒe nuawoɖeɖeɖego me ya ŋutɔ
"I didn't read 52 books this year but I had fun and I'm quite satisfied with the result,",nye mexlẽ agbãlɛ blatɔ vɔ eve ƒe sia me o ke medze agbagba eye edo dzidzɔ nam
My name is: camel.,Kposɔ woyɔam.
"I couldn't help but tense up at the sight of the example you used for comparison. """,nyemevɔ le kpɔɖeŋu sie mietsɔ le sɔsɔm ɖe eŋu o
"“I remember one Saturday during this festive period when for a few hours,” no cars arrived from Mbalmayo. """,meɖo ŋuku mlemleɖa azã ŋukeke aɖe dzi esi mewɔ gaƒoƒo gbogbo aɖe le afisia gake nyemekpɔ ʋu aɖeke o la
"Two pieces, three pieces, four pieces then my fingers cross other fingers...Two flashes, then the light comes back","deka, eve etɔ̃ ene eye nye alɔ kli asibiɖe eve bubu... Eve nyɛ̃ɛ wona dzoa"
"At the end of the month, the contents of the box were offered as alms","le ɣletikuku la, wotsɔa nudzraɖoɖi sia woa nunannae"
Hmm my brother happy to read this article.,"hum fonye,dzidzɔm ɖe agbalẽ sia xlexle ŋu"
We did it,miewɔe
It was precisely in 2009 that the affair broke out after the complaint of one of its victims,ƒè 2009 lia mee nya dzɔ esi ɖeviawo dome ameɖeka sama lae
"Janine was born in 1973 in Cocody,",wodzi Janine le Cocody le 1973
Today I am exhausted,egbe la ewum
Then he began to court her diligently,eye wodze asidzidzi atraɖi gɔme
"It's been a while since we last saw each other, them and I",edzidzi si nye kpli wo miegado go kpɔ o
"We were joined the next day by Donassihi Coulibaly, student in Türkiye, writer and passionate about social issues.",ŋukegbe la Donassihi Coulibaly si nye sukukɔkɔdela le Turkia eye wonye nuŋlɔla kple hahodɔwɔla la hã va gtu mi
"No son, I'm not dead inside","ao, vinye, nyemekú le emeeme o"
"The couple, who faced a lot of criticism due to their age difference, never paid attention to the gossipers",srɔ̃tɔ siawo si amewo  kpɔa baɖae la mekea nu de eme na wo o
Yet his eyes are filled with sadness.,ele nuzizi me tso gake
"When you read this article (still happy that you at least like my articles), rest assured, I will get better","esi naxlẽ nyaɖoanyi sia la (akpe be nye nyawo dzɔadzi na mi), kaɖe edzi be meli nyuie"
And I agree with you when you say that men have a lot to learn from women.,meda asi ɖe edzi nawò be nu geɖe li si nyɔnuwo asrɔ̃ le ŋutsuwo gbɔe
The Moor then said:,Mɔretɔ la gblɔ be:
They waited a long time to be served.,Wo lala ɣe yi ɣi didi aɖe kpɔ nuɖuɖu la
"This is the opportunity to wreak vengeance,",mɔnukpɔ enye sia be woabia hlɔ̃
Backing up to leap forward is not an option when the outcome is not predictable and the future of an entire continent is at stake.,"alala be woawɔ nuwo nyuie la meɖo asixɔxɔ aɖeke o,nenye mienya ŋuɖoɖo si ava la o; gake Afrika blibo lz ƒe tsɔme ,fe nya gblɔm miele le afisia"
"The following night, the hyena came back, this time running very quickly, with long strides.",Gana gava kple dzu sesiẽ azɔ le zã si kplɔe ɖo la me.
Fortunately this M,akpe be aƒetɔ
"“We need to educate our state and that requires patience, courage and determination.”","míena hehe míaƒe dukɔ la eye esia híã dzigbɔɖi,ŋusẽdodo kple tsiatsia kplikpaa wɔwɔ"
"They crane their necks and stand on tiptoe to observe the scene in the courtyard,",wohe woƒe kɔwo xekpɔ nusi le dzɔdzɔm le aƒeame
We should only make a new one if we have something new to tell,woawɔ yeye nenye be nu yeye aɖe do
"“This text was not written to demonize men, but rather to show them the scope of their actions.”","medi be maʋu dɔteƒe aɖe ,afisi mafia dɔ siwo katã wobua  abe ŋutsuwo ƒe dɔ ene la ɖetugbuiwo le"
They exchanged contacts and promised to meet again before Hamad returned to Portland,Wona woenɔewo kaƒodzesi eye wodo ŋugbe yewoaga dó go hafi Hamad natrɔ ayi ɖe Portland
He was receiving visitors for condolences and he had to explain to someone why you should avoid shaking hands at this time,"amewo le edzim kpɔ na kunya ke eɖe nu si ta asinana megali o la na ame aɖe,"
"The Xala or the impotence of El Hadji could resemble a divine punishment,",Xala ateŋu anye Mawu ƒe tohehe
"We add a dish of alloco that we will share,",wotsɔ alloco nuɖuɖu aɖe xe kpeɖe ŋuti na mi
"Their faces shine with kindness,",woƒe ŋukume ɖe lɔlɔ̃ fia
This is where the silent dynamics of stigma and degradation play out.,afi siae zikpizilawo le dɔ wɔm lee nye esia
"In the meantime, have you read “The Revolt of Affiba” or another book by Regina Yaou,",ke mixlẽ «la révolte d'Affiba» alo Regina Yaou ƒe agbãlɛ aɖe kpɔa
"Any animal that passed within range of his spear could consider itself dead, skinned and roasted.","Lã sia lã si to yeƒe aŋutsrɔ nu la, nenyae ko be yekú, woko ye heyi ye le dzo nu"
So it's even more difficult to find AB blood bags-,eyata wosesẽ be woakpɔ ʋuƒomevi sia
"He had started by reproaching her for being out so late, then insisting on knowing who she had gone to the cinema with.",enɔ nya gbem nae be edo le gaƒoƒo sia dzi eye wodzi be yanya ekple ame si va sinima la
"She is enterprising, she is invigorating",agbe le eme eye edze nu gɔme ɣe isa ɣi
"I remember that day, the indescribable feeling that filled me while I was pronouncing the shahada",meɖo ŋku gbe ma gbe kple seselelãme tɔhɛ sie nɔ menye esi menɔ adzɔgbea fiam lae
"All the guests were smiling, some as elegant as the others, the images were impeccable, expressive",amekpekpeawo katã nɔa nu kom eye fotoawo hã nya kpɔna
"""[ttn] book: ""The tontine system in Africa: an informal banking system: the case of Congo"", by Célestin Mayoukou",Afrika ƒe gadzraɖoƒe akpa gãtɔwo le woɖokuiwo si
My palms are sweaty and I'm already sweating even though it's not that hot,nye alɔƒome fa eye menɔ ade dzem to egbɔ be dzodzo mele wɔwɔm o
"I tried to share the ideas that seemed most important to me in the book, but I recommend that you read it yourself",mema susu siwo le agbalẽa me eye mesusui be wonyo la kple mi gake anyo ne mia ŋutɔ miaxlẽe
David lets Jessica get to the end of her communication,"David, ná Jessica wú eƒe nya la nu"
"Because a few minutes later, the second message arrived",elabe miniti aɖewo ko megbe l bubu hã vae
I will call Julien to join us,Mayɔ Julien be woava dze mia dzi
As if she wanted to relive this hell again,abe ɖee wogale dzidzim be yeaganɔ xaxa sia me ke ene
"Before, I also asked questions, I asked how this world works, I asked for gifts and advice",tsã la nyehã miabiaa nyae kuɖe ale si nuwo yinae la ŋue eye mebiaa nunana kple toƒoɖonyawoe
"Watch the movie of life, look into the distance",akpɔ agbea ƒe tata le ŋgɔ ʋĩi
"We do not know if we will see tomorrow but we have complete confidence in our Sovereign, Al-Malik",nyemenya ne manɔ agbe na tsɔ o ke hã megble ɖokuinye ɖe aƒetɔa sime
It was as a man that he announced to her his desire to propose to Eva,vevidodo wotsɔ gblɔ nae be yele alɔge kple Eva lae
"“It’s time to unite, it’s time to inexorably take charge.”",ɣeyiɣia de be míanyɔ eye míawɔ deka
Thank you for this delicious moment,akpe ɖe ɣeyiɣi tɔxɛ sia ta
I have the opportunity to work on events to relay them on social networks and the blog,meyia kpekpewo aheɖe wo ɖego le yaʋala dzi
"“And there, clearly, she is in a trance.”",emekɔ be eyi ɖime
Elon takes on an industry where conventions die hard,edze dɔ sesẽ aɖe dzi
But I wouldn't pity her because it's for such challenges that intelligent people get up every morning.,anɔ abe ɣleti ɖeka enye esi si Tchad ƒe nyakaka dudɔnunɔla kpem va egbɔe
La Mounou de la Falêmé,Falɛme ƒe mami la
"I really liked a passage towards the end,",melɔ̃ teƒea ɖe le nuwuwu
"Some spoke more than others, but I am sure that we were all touched by what came out of this meeting.",ame aɖewo ƒo nu wu ɖewo gake nu siwo miese la wɔ dɔ le mi katã dzi
"It's a huge lie,",enye adze ɖaɖa gã ɖe
"Read, and learn for yourselves,","mixlẽ nu, eye miaŋutɔ miasrɔ̃nu"
I would also have preferred that they received coaching that leads them all to present without reading sheets of paper,Anyo hã nenye be woxɔ megbedede hena nuwo ɖeɖefia agbalẽdzi makpɔmakpɔe la
This call for tenders only concerns companies residing in Togolese territory.,esia ka adzɔ siwo le Togonyigba dzi ko
It hasn't been long since the two lovebirds got engaged that a photo that leaked onto the Web has already caused controversy,nyitsɔ laa ko lɔlɔ̃tɔ eveawo do ŋugbe eye foto aɖe si ze le yaʋala dzi la dze boblododo
"Sarah Cohen is a successful lawyer, mother of three, and twice divorced,",Sarah Cohen nye senyala xɔ ŋukɔ eye woɖo vi etɔ̃  eye wonye nyɔnu gbe atsou zi eve
"I often wonder if it's because I live in the most liberal city in America,",Mebia ɖokuinye edziédzi be alo esi mele américa  vovodu aɖe me ta ye
"The harmattan cold was barely felt in the capital this year,",baliwɔe ƒe fafa medze le du gã me le ƒe sia me o
"I end this year having read 48 books in full,",mewu ƒe sianu kple agbãlɛ  blaene vɔ enyi xexlẽ me
"She panicked,",eɖo vɔvɔ̃ nae
“For All Life” is way too long to be miserable,agbea didi akpa be manɔe le vevesese ko me
"without that, it’s Belarus",ne mele nenem o la ekem miele Bielorɔshia
"He jumps as if to be noticed, or to catch the words that seem to pass over his head",etia kpo abe ne woakpɔ ye alo yeaĺ nya siwo to  éta yina la ene
"That's when the bomb falls,",le esiamee nya gã dze anyi
"Whoever wants the reward of the Hereafter, We give it to him, and We will soon reward the grateful","ne ame aɖe dzii le xexekeme me la, mianae eye miadze ame sia ame nana zãa aɖe ya"
"As soon as we give up all effort, it is a sign that the relationship no longer suits us","ne vevidonu bu la, ekem kadedea megale edzi dzem na mi o"
"If I insist so much, it's good because I really like her",ne mele tetem ɖe edzi alea la egɔme koe nye be melɔ̃e vavã
I dream of creating two types of schools,Nye susue nye be matu sukuƒome eve
The teams are to be congratulated for taking the initiative to participate in the competition and reaching the final,Edze woada akpe na wo ɖe alesi wote ŋu va hoʋliƒea kaka yi ɖe nuwuwu la ta
"“I will respect all people, their autonomy and their will, without any discrimination based on their condition or their beliefs.”",si miewɔ naneke nae o ta la ye wɔ be miede eƒe agbe afɔku me
"Especially since he would have had to oppose his own mother,",anye be ada le dada dzi
Give me your hand.,Do wo asi ɖam.
"Cloé is beautiful, comes from a rich family and is about to marry the perfect man,",Cloé nya kpɔ eye wotso hotsuitɔ  ƒome me le dzadzra ɖo wɔ na srɔ̃ɖeɖe
"They threw sand on his coffin,",Wokɔ ke ɖe eƒe aɖaka dzi
And yet,ke hã
"The two organizations organized seminars to strengthen the IT capacities of 400 educational supervisors,",hatsotso eveawo wɔ ɖoɖo na tutuɖo nana nufiala alafa ene kuɖe aɖaŋuɖemɔ ŋu
I just read my second Agatha Christie,mexlẽ agatha christie ƒe agbalẽ evelia vɔ
"I kicked his right foot, forcing him to spread his legs.",metu afɔ ɖusifɔ nae alebe woake ata nbam
"Tierno Bokar did not judge, it doesn't matter if you are Muslim or of another religious faith,",Tierno Bokar me drɔ̃ ʋɔnu o meka mienye mɔslemtɔ alo ame bubu o
Photo credit: sfsfrançais STOP CORRUPTION!!  There is one point on which I do not completely agree.,"nenye be nedzo le dugãme be yeayi ɖade agble le kɔƒeme la,esia ɖe fia be neda wò taɖodzinu la ƒu"
How does this concern them?,afika woka wo lee
"At this moment, she pointed out to me a plate intended to be delivered to my husband",eye wotsɔ esi wole ɖoɖo ge ɖe srɔ̃nye la hã fiam
The question “What is your opinion on abortion?” was asked to me by the blogger Ad Wondje.,ele abe wogblɔ nyawo katã le kele ƒe keteke  mɔtratra  la ŋu vɔ
He looked back at Jessica who was still lying down.,etrɔ kpɔ Jessica si ganɔ anyimlɔƒea ko
