english,twi
She runs every morning to stay fit and maintain a healthy lifestyle.,Otu mmirika anɔpa biara sɛnea ɛbɛyɛ a ɔbɛkɔ so ayɛ den na wakura asetra kwan a ahoɔden wom mu.
"The midwives provide family planning services, postnatal and antenatal care.","Wɔn a wɔgye awoɔ no ma nkyerɛkyerɛ fa awoɔ mu ntetemu, awoɔ akyiri ne nyinsɛn mu nimdeɛ ho."
People should understand the word of the Lord.,Ɛsɛ sɛ nnipa te Awurade asɛm no ase.
Family dream trip will be in western Ghana.,Abusua akwantu a wɔn ani da so no wɔ Ghana atɔe fam.
You always have to thank those people who help you in bad times because it's a sign of respect to thank people who help you when you are in need.,Berɛ biara ɛsɛ sɛ woda nnipa a wɔboa wo wɔ mmerɛ bɔne mu no ase ɛfiri sɛ ɛkyerɛ obuo sɛ wobɛda nnipa a wɔboa wo wɔ ahokyerɛ berɛ mu no ase.
Eating cold food in the morning is unhealthy.,"Sɛ wudi aduan a ɛyɛ nwini anɔpa a, ɛnyɛ mapomoden"
It is easier to identify you by your name.,Ɛnyɛ den sɛ wode wo din behu wo.
"People do not understand the objectives of the government policy towards cattle,",Nkorɔfoɔ nte aban nhyehyɛeɛ a ɛfa anantwie ho no botaeɛ ase.
Most of her friends attended her wedding launch.,Ne nnamfo dodow no ara kɔɔ n’ayeforohyia a wɔde sii hɔ no ase.
People need to understand the importance of education.,Ɛsɛ sɛ nkorɔfoɔ te hia a nwomasua ho hia ase.
He works very hard because he doesn't want his family to lack.,Ɔyɛ adwumaden paa efisɛ ɔmpɛ sɛ n’abusua bɛka.
"I always drink a refreshing glass of water every morning, but not necessarily to quench my thirst.","Bere nyinaa menom nsu kuruwa a ɛma ahoɔden anɔpa biara, nanso ɛnyɛ nea ɛho hia sɛ mede bedum me sukɔm."
Community programs can help people to understand the importance of protecting the environment.,Mpɔtam hɔ nhyehyɛe ahorow betumi aboa nkurɔfo ma wɔate hia a ɛho hia sɛ wɔbɔ nneɛma a atwa yɛn ho ahyia ho ban no ase.
"During the upcoming weekend, my friends plan to enjoy themselves at the disco.","Wɔ dapɛn awiei a ɛreba no mu no, me nnamfonom ayɛ nhyehyɛe sɛ wobegye wɔn ani wɔ disko no mu."
I know that by God's grace the best is yet to come until Ghana becomes a household name on the earth.,Minim sɛ ɛnam Onyankopɔn adom so na nea eye sen biara no da so ara reba kosi sɛ Ghana bɛyɛ ofie din wɔ asase so.
"Ewurafua did not like the taste of the food, and her mother's friends have learned to be good to their dogs while the twins used to wear similar clothes.","Ewurafua ani annye aduane no dɛ ho, na ne maame nnamfonom asua sɛ wɔbɛyɛ wɔn akraman yie berɛ a na mmanoma no taa hyɛ ntadeɛ a ɛte saa ara."
The family cannot do anything more because they are financially down.,Abusua no rentumi biribiara bio ɛfiri sɛ wɔnni sika bio
"Good morning friend, how are you doing today? I'm afraid I have some terrible news. Unfortunately, we lost our grandfather yesterday.","Maakye m'adamfo, ete sen nnɛ? Misuro sɛ mewɔ nsɛmbɔne bi. Awerɛhosɛm ne sɛ, yɛn nanabarima wuu ɛnnora"
The medical body seeks to understand how citizens manage amidst having the disease.,Adɔkotafoɔ ne rehwɛ sɛ wɔbɛte kwan a ɔmanfoɔ no fa so bɔ wɔn ho ban sɛ wɔnya yareɛ no a.
My friend makes chalk and supplies it to schools.,M’adamfo no yɛ kyerɛwboba na ɔde ma sukuu ahorow.
People's names also differ according to their tribes.,Nkorɔfoɔ din gyina wɔn mmusuakuo so sesa.
Thanks are given to the bishop for equally considering gender in the diocese.,Yɛda ɔsɔfopɔn no ase sɛ osusuw ɔbarima ne ɔbea nna ho pɛpɛɛpɛ wɔ asɔre no mu.
"People in the community, armed with bows and arrows, killed the hippopotamus that had chased down the locals and bitten their legs in the morning hours. It was finally killed in the afternoon.","Nkorɔfoɔ a wɔwɔ kuro no mu hɔ a wɔkurakura agyan ne pea kumm asukɔnkɔn a na wataa ɛhɔfoɔ no na waka wɔn nan anɔpaberɛ no. Awieeɛ koraa no, wɔkumm no awiaberɛ."
Negative forces are sabotaging our values striking the family and the youth,Tumi bɔne kuw resɛe yɛn gyinapɛn ahorow na ɛrebɔ abusua no ne mmerante ne mmabaa
"In the afternoon on Sunday, the ancestral marketplace, “Tsetse guaso” is filled to capacity for the sacrifice.","Kwasida awiabere no, nananom gua so, “Tsetse guaso” no yɛ ma ma afɔrebɔ no."
I hug my son every morning before he goes to school.,Meyɛ me ba no atuu anɔpa biara ansa na wakɔ sukuu.
The family members will be grateful if the leaders follow their father's footsteps.,"Sɛ akannifoɔ no di wɔn papanom anamɔn akyi a, abusua no ani bɛsɔ pa ara"
She was conned ten million Ghanaiancedis this morning and became very depressed after testing positive for the Human Immunodeficiency Virus.,Wɔdaadaa no Ghanaiancedi ɔpepem du anɔpa yi na ɔnyaa adwenemhaw kɛseɛ berɛ a wɔhwehwɛɛ mu sɛ ɔwɔ Human Immunodeficiency Virus no.
Individuals around the world have lost family members due to coronavirus .,Ankorankoro a wɔwɔ wiase nyinaa ahwere wɔn abusua mufo esiane koronavirus nti .
Traditional religions in Ghana have retained their influence because of their intimate relation to family loyalties and local mores.,Atetesɛm som ahodoɔ a ɛwɔ Ghana no akura wɔn nkɛntɛnso mu ɛsiane abusuabɔ a ɛmu yɛ den a ɛda abusua mu nokorɛdie ne mpɔtam hɔ amanneɛ ahodoɔ ntam nti.
"The head of the family traditionally sprinkles kpoikpoi (a process called ""Nishwamo"") and pours drinks to the ground to honor ancestors following the preparation of Homowo food on Saturday.","Abusuapanin no nam amammerɛ kwan so pete kpoikpoi (adeyɛ bi a wɔfrɛ no ""Nishwamo"") na wahwie nsa agu fam de ahyɛ nananom animuonyam na wɔde ayɛ ahoboaboa ama Homowo aduane Memeneda no."
Last evening one person was killed as a land wrangle turned violent.,"Anwummerɛ a etwaam no, wokum nnipa baako berɛ a asase so ntawantawadie danee basabasayɛ no."
Avoid trouble please and do not do anything to harm others.,Kwati ɔhaw mesrɛ wo na nyɛ biribiara a ɛbɛpira afoforo.
The deceased's family was quarantined at the health centre.,Wɔde owufo no abusua no too afiase wɔ akwahosan asoɛe hɔ.
Every morning I take my one year old son to the day care center.,Anɔpa biara mede me ba a wadi afe biako no kɔ sukuu.
"The Chief Executive Officer will be visiting the company branches tomorrow morning, indicating an upcoming event.","Adwumayɛfo Panyin no bɛkɔ akɔsra adwumakuw no baa dwumadibea ahorow ɔkyena anɔpa, na akyerɛ adeyɛ bi a ɛreba."
I am grateful for the ongoing support from the ministry of health to Ghanaians.,M’ani sɔ mmoa a ɛkɔ so fi asoe a wɔhwɛ apom den so de ma Ghanafo.
The students shall have a physics practical lesson tomorrow morning.,Asuafoɔ no bɛnya abɔdeɛ mu nneɛma ho adesua a wɔde di dwuma ɔkyena anɔpa.
All people must officially register their names with government registrars.,Ɛsɛ sɛ nnipa nyinaa kyerɛw wɔn din wɔ aban akyerɛwfo nkyɛn wɔ aban kwan so.
Every family should think about starting its own business.,Ɛsɛ sɛ abusua biara dwen ho sɛ wobehyɛ wɔn ankasa nnwuma ho dwuma.
My friend threatened to quit if she doesn't get promoted.,"M’adamfo no hunahunaa no sɛ sɛ wɔannya nkɔanim a, obegyae."
People have improved their werfare and family well being.,Nkorɔfoɔ ama wɔn asetena ne abusua yiedie atu mpɔn.
"He was arrested from his office this afternoon, and his sister is being prosecuted for trespassing on private property.","Wɔkyeree no fii n’adwumayɛbea awia yi, na wɔredi ne nuabea no asɛm sɛ wahyɛn ankorankoro agyapade so."
My friend's car was stolen from the parking lot last month.,Wowiaa m’adamfo no kar fii baabi a wɔde kar sisi no ɔsram a etwaam no.
The family of the deceased lay a wreath on him.,Onipa a wawu no abusua de nhwiren bɛgugu ne so
The newly elected chairman vowed to promote togetherness and solve issues dividing the party. He added that he wants to make people understand how the party operates.,Oguamtrani a wɔapaw no foforo no kaa ntam sɛ ɔbɛhyɛ biakoyɛ ho nkuran na wadi nsɛm a ɛpaapae akuw no mu no ho dwuma.
A friend in need is a friend indeed.,Adamfoɔ wɔ ohia berɛ mu yɛ adamfo papa ampa.
Kidnapped people go missing from their families and friends,Nnipa a wɔkyere wɔn sie no yera fi wɔn mmusua ne wɔn nnamfo nkyɛn.
The school set a time for morning prep hours.,Sukuu no de bere bi sii hɔ maa anɔpa ahosiesie nnɔnhwerew.
"She listened attentively to her friend's problems. She offered her a sympathetic ear, and sometimes, sympathy is all we can offer.","Ɔde aso tiee n’adamfo no haw ahodoɔ. Ɔmaa no aso a ɛkyerɛ tema, na ɛtɔ mmere bi a, tema nkutoo ne nea yɛbetumi de ama."
Non-Muslims sometimes celebrate Eid with their Muslim friends.,Ɛtɔ da bi a wɔn a wɔnyɛ Nkramofoɔ ne wɔn nnamfonom Nkramofoɔ di Eid afahyɛ no.
My friend works with ministry of water and environment.,M’adamfo no ne nsu ne nneɛma a atwa yɛn ho ahyia ho som adwuma yɛ adwuma.
Farmers need to take care of their animals daily.,Ɛsɛ sɛ akuafo hwɛ wɔn mmoa daa.
Some people name their children after their deceased parents.,Nnipa binom de wɔn mma din to wɔn awofo a wɔawuwu no so.
Traditional religions in Ghana have retained their influence because of their intimate relation to family loyalties and local mores.,Amammerɛ mu som binom atumi anya nnipa so tumi abɛsi sɛsɛɛ ɛsiane ayɔnkofa kɛseɛ a ɛwɔ wɔ da mmusua binom nhyehyɛeɛ mu ne nkuro binom mu dwumadie mu no.
My friend performed poorly because of irregular attendance.,M’adamfo no anyɛ adwuma yiye esiane sɛ na ɔnkɔ hɔ daa nti.
The government is educating leaders about family planning.,Aban no rekyerɛkyerɛ akannifoɔ no afa sɛdeɛ wɔbɛtoto wɔn mmusua ne wɔn awoɔ yie ho.
One of our friends ate poisonous food and died.,Yɛn nnamfonom mu biako dii aduan a awuduru wom na owui.
Newlyweds need to enrol for life insurance to plan for their family.,Ɛsɛ sɛ awarefo foforo kyerɛw wɔn din wɔ nkwa honsiakyibaa mu na wɔatumi ayɛ nhyehyɛe ama wɔn abusua.
I took over the family poultry business from my father.,Migyee abusua no nkokɔ ho adwuma no fii me papa nsam.
"I'm personally devastated, I've lost a father, I've lost a friend, I've lost a mentor and a senior comrade. Ghana is united in grief at this time for our departed president.","M’ankasa me werɛ ahow, mahwere agya, mahwere adamfo, mahwere ɔfotufo ne ɔyɔnko panyin. Ghana ayɛ biako wɔ awerɛhow mu wɔ saa bere yi mu ama yɛn ɔmampanyin a wawu no."
People these days no longer use family planning.,Nnansa yi nkorɔfoɔ mfa awoɔ nhyehyɛeɛ nni dwuma bio.
I want to go to a place where I can settle with my family.,Mepɛ sɛ mekɔ baabi a me ne m’abusua betumi atra.
Our mother succumbed to breast cancer last year and our father succumbed to tuberculosis this morning.,Yɛn maame wuii wɔ nufoɔ mu kokoram mu afe a ɛtwaam no na yɛn papa nso wuii wɔ nsamanwa mu anɔpa yi.
He was naturally social and enjoyed being around people. He was thus able to make friends easily.,Ná ɔyɛ obi a ɔne afoforo bɔ fi awosu mu na na n’ani gye ho sɛ ɔne nkurɔfo bɛbɔ. Ɔnam saayɛ so tumi faa nnamfo ntɛm.
The government advises people to use family planning.,Aban no hyɛ ɔmanfoɔ no nkuran sɛ wɔmfa abɛɛfo kwan so ntete wɔn awoɔ mu
Please wear a mask every time you go into a public place,Yɛsrɛ sɛ hyɛ akatahwene bere biara a wobɛkɔ ɔmanfoɔ beaeɛ
Embarrass or make fun of you in front of your friends or family?,Aniwude anaasɛ wodi fɛw wo nnamfo anaa w'abusuafo anim?
coronavirus patients were isolated from their families and friends.,wɔyii coronavirus ayarefoɔ firii wɔn mmusua ne wɔn nnamfonom ho.
We were requested to condole with the family of the deceased.,Wɔsrɛɛ yɛn sɛ yɛnkyekye owufoɔ no abusuafoɔ werɛ.
People will be able to understand God and his ways.,Nkurɔfoɔ bɛtumi ate Onyankopɔn ne n’akwan ase.
His name was not found in the voter's register.,Wɔanhu ne din wɔ abatowfo din mu.
It is your responsibility to take care of your life and hence it is not good to prepare food in a dirty place.,Ɛyɛ w’asɛdeɛ sɛ wobɛhwɛ w’asetena so na ɛno nti ɛnyɛ papa sɛ wobɛsiesie aduane wɔ baabi a ɛho ntew.
"His family decided to settle in the village, seeking stability and a sense of belonging.","N’abusua sii gyinae sɛ wɔbɛtra akuraa no ase, na wɔhwehwɛɛ sɛ wɔbɛgyina pintinn na wɔate nka sɛ wɔyɛ wɔn dea."
Men understand pregnancy complications when they go for antenatal visits.,Mmarima te nyinsɛn mu nsɛnnennen ase bere a wɔkɔsra wɔn ansa na wɔawo no.
One ought to love his or her family.,Ɛsɛ sɛ obi dɔ n’abusua.
The numbers of coronavirus disease have continued to increase slowly.,Coronavirus yareɛ dodoɔ akɔ so akɔ soro nkakrankakra.
If your husband is irresponsible then use family planning.,Sɛ wo kunu nni asɛyɛde a ɛnde fa abusua nhyehyɛe di dwuma.
"The head of the family traditionally sprinkles kpoikpoi (a process called ""Nishwamo"") and pours drinks to the ground to honor ancestors following the preparation of Homowo food on Saturday.","Abusua ti no petepete kpoipkoi (wɔfrɛ saa nneyɛɛ yi ""Nishwamo"") na ɔgu nsa de hyɛ nananom nsamanfoɔ animouyam de yɛ ahoboa ma Homowo aduane no Memeneda."
I am the eighth child in a family of eleven.,Meyɛ abofra a meto so awotwe wɔ abusua a emufo yɛ du-baako mu.
We were requested to condole with the family of the deceased.,Wɔka kyerɛɛ yɛn sɛ yɛnkyekye deɛ wawu no abusua no werɛ.
"As a family, we opened up a group savings account in the bank.","Sɛ́ abusua no, yebuee kuw bi a wɔde sie sikakorabea wɔ sikakorabea."
Please justify your request with the supporting comment.,Yɛsrɛ sɛ fa nsɛm a ɛfoa so no bu w’abisade no bem.
Some youths do not understand the importance of Education.,Mmabunu binom nte hia a Nhomasua ho hia no ase.
Foxes and leopards belong to the cat family.,Sakraman ne etwie nyinaa ka agyinamoa  abusua no ho
My friend kindly invited me to attend her wedding ceremony.,M’adamfo no fi ayamye mu too nsa frɛɛ me sɛ memmra n’ayeforohyia guabɔ no ase.
The teacher patiently explained the complex concept until all the students understood it. He constantly made analogies to objects and phenomena they could easily realte to in their surroundings.,Ɔkyerɛkyerɛfo no tɔɔ ne bo ase kyerɛkyerɛɛ adwene a ɛyɛ den no mu kosii sɛ sukuufo no nyinaa tee ase. Ɔde nneɛma ne nneɛma a ɛkɔ so a ɛnyɛ den sɛ wobetumi ahu wɔ nneɛma a atwa wɔn ho ahyia no ho nsɛso bere nyinaa.
Bar owners should understand the challenges of their business.,Ɛsɛ sɛ asanombea wuranom te nsɛnnennen a ɛwɔ wɔn adwuma no mu ase.
The district pledged to take care of the deceased's family werfare.,Mansini no hyɛɛ bɔ sɛ wɔbɛhwɛ sika a wɔgyegye de hwɛ owufoɔ bi abusuafoɔ no
The students shall have a physics practical lesson tomorrow morning.,Asukuufoɔ no bɛyɛ 'fisiks' (physics) adesua dwumadie ɔkyena anɔpa.
Take care of the environment you live in.,Hwɛ nneɛma a atwa wo ho ahyia a wote mu no yiye.
He urged people to take care of their properties.,Ɔhyɛɛ nkurɔfo nkuran sɛ wɔnhwɛ wɔn agyapade so.
I wake up very early in the morning ready to go and work.,Mesɔre anɔpatutuutu pa ara a masiesie me ho sɛ mɛkɔ akɔyɛ adwuma.
He was very grateful to the leaders for the good work.,Ɔdaa akannifoɔ no ase paa wɔ adwuma pa no ho.
People working together don't have to be friends.,Ɛnsɛ sɛ nkorɔfoɔ a wɔreyɛ adwuma abɔm no yɛ nnamfoɔ.
A study was carried out to understand the impact of the war on education.,Wɔyɛɛ nhwehwɛmu bi de te nkɛntɛnso a ɔko no nyae wɔ nhomasua so no ase.
The evening was a wonderful experience of oral storytelling from a master craftswoman.,Anadwo no yɛɛ suahunu nwanwasoɔ bi a ɛfa anansesɛm a maame bi a wakwadare mu toeɛ ho.
"His father did not live with the family, but worked in Half Assini where he pursued his goldsmith business until his death.","Ne papa ne abusua no antra, na mmom ɔyɛɛ adwuma wɔ Half Assini baabi a ɔyɛɛ ne sika kɔkɔɔ adwumfo adwuma no kosii ne wu mu."
