anchor,positive
"During the celebration on Saturday, people go around many Ga households in the Gamashie area to share the festal food with them.","Wɔ afahyɛ no mu Kwasida no, nkurɔfo kyinkyin Ga afie pii mu wɔ Gamashie mpɔtam hɔ kɔkyɛ afahyɛ no mu nnuan no kyerɛ wɔn."
Please help me.,S'il vous plaît aidez-moi.
She runs every morning to stay fit and maintain a healthy lifestyle.,Otu mmirika anɔpa biara sɛnea ɛbɛyɛ a ɔbɛkɔ so ayɛ den na wakura asetra kwan a ahoɔden wom mu.
What is your name?,Can you tell me your name?
The price of meat is determined by the butcher.,"Nam bo a wɔbɛtɔ no, nea ɔkum nam no na ɔkyerɛ."
This company will provide crops and market for the farmers produce.,Saa adwumakuo yi de nnuaba ne ɛdwa bɛma akuafoɔ nnɔbaeɛ.
"I've been reading about the Ghanaian stock market. What's the current state of the market, and how does it compare to other more advanced stock exchanges?","Mikane Ghana jarayelihe lɛ he sane. Mɛni ji jarayeli shihilɛ ni yɔɔ amrɔ nɛɛ, ni te ekɛtoɔ jarayeli hei krokomɛi ni etee hiɛ lɛ ahe ehaa tɛŋŋ?"
I'm interested in learning more about how people in Ghana perceive herbal medicine. What role do friends and relatives play in promoting herbal medicine?,Miyɛ he miishɛɛ akɛ makase bɔ ni mɛi ni yɔɔ Ghana lɛ nuɔ tsofafeemɔ ni akɛ tsofai fɔji tsuɔ nii amɛhaa lɛ he nii babaoo. Mɛɛ gbɛfaŋnɔ nanemɛi kɛ wekumɛi tsuɔ yɛ tsofafeemɔ ni akɛ tsofa-kɛ-ŋma fee lɛ he nitsumɔ mli?
What is the current price?,How much are you charging now?
He was very grateful to the leaders for the good work.,Ɔdaa akannifoɔ no ase paa wɔ adwuma pa no ho.
How may I help you?,How may I serve you?
They banned the movement and sale of animals and their products in the markets.,Wɔde taboɔ too mmoa a wɔnenam ne mmoa a wɔtɔn wɔn ne mmoa ho biribiara a wɔtɔn no dwa so no so.
Many officers in Ghana steal the government's money.,Adwumayɛfoɔ pii a wɔwɔ Ghana wia aban no sika.
How to make planktons in the fish pond?,Ɔkwan bɛn so na wɔyɛ plankton wɔ mpataa atare no mu?
No.,Daabi.
People need to understand the importance of education.,Ɛsɛ sɛ nkorɔfoɔ te hia a nwomasua ho hia ase.
What were the main sources of data collection in the research on e-business adoption in Ghana hotels?,Mɛni ji hei titri ni abua saji anaa yɛ niiamlitaomɔ ni kɔɔ e-business ni akɛtsuɔ nii yɛ Ghana gbɔiatoohei lɛ amli lɛ mli?
I'm interested in learning more about family planning in Ghana. What were the main findings of the study on family planning among married couples in the Akwapim North District of Ghana?,"Miyɛ he miishɛɛ akɛ makase weku gbɛjianɔtoo he nii babaoo yɛ Ghana. Mɛni ji nibii titrii ni ana yɛ weku gbɛjianɔtoo he nikasemɔ ko ni afee yɛ gbalashihilɛ mli hefatalɔi ateŋ yɛ Akwapim North District, yɛ Ghana lɛ mli?"
I'm interested in learning more about the stock market in Ghana. Can you tell me about the Ghana Stock Exchange?,Miyɛ he miishɛɛ akɛ makase nibii babaoo yɛ Ghana jarayeli he. Ani obaanyɛ okɛɛ mi Ghana Shikatoohe lɛ he sane?
How is your family?,How is your family doing?
The money will now go to the youth groups immediately.,sika no bɛkɔ mmabunu nkabɔm kuo ahodoɔ no hɔ seisei ara.
Please come in.,Please enter
"I am fine, thank you.",Doing well thanks.
"I'm interested in learning more about hand hygiene practices in Ghana, particularly among food vendors. Can you tell me about the general attitude of Ghanaians towards hand washing?","Miyɛ he miishɛɛ akɛ makase nine mli hetsemɔ he nii babaoo yɛ Ghana, titri lɛ yɛ mɛi ni kɛ niyenii haa lɛ ateŋ. Ani obaanyɛ okɛɛ mi bɔ ni Ghanabii lɛ fɛɛ susuɔ nine mli tsɔsemɔ he amɛhaa lɛ he sane?"
You're welcome here.,You're welcome anytime.
What strategies did Barclays Bank in Ghana implement to improve customer service?,Mɛɛ gbɛi Barclays Bank ni yɔɔ Ghana lɛ etsɔ nɔ ekɛha mɛi ni heɔ nii lɛ anitsumɔ aya hiɛ?
Feel free to look around.,You can check everything.
Good evening,Good evening to you
What measures has Ghana taken to combat terrorism and money laundering?,Mɛɛ gbɛi Ghana etsɔ nɔ ekɛwu eshi awuiyeli kɛ shika ni akɛwoɔ shika mli lɛ?
How can I assist you today?,How can I assist you today?
I've been reading about food safety in Ghanaian schools. What are some common issues that schools face in terms of food safety?,Mikane niyenii he shweshweeshwefeemɔ he sane yɛ skul ni yɔɔ Ghana lɛ mli. Mɛni ji saji komɛi ni skulbii kɛkpeɔ yɛ niyenii he shweshweeshwefeemɔ he?
See you later.,I'll see you later.
"It's okay, no worries.","It's fine, don't worry."
Hi,Nice to see you.
I'm interested in learning more about the research conducted on food safety in hotels in Ghana. Can you tell me about the population studied?,Miyɛ he miishɛɛ akɛ makase niiamlitaomɔ ni kɔɔ niyenii ni yɔɔ Ghana gbɔiatoohei lɛ ahe lɛ he nii babaoo. Kɛɛmɔ mi gbɔmɛi ayibɔ ni akase lɛ he sane?
"The money raised will be used to help children with their education and to finance art workshops at the Eulis Center,",ho siwo miaxɔ akpeɖe miaŋu miaxe ɖeviawo ƒe suku fe kple aɖaŋu nu wɔwɔ le centre eulis
Some people are eagerly engaged in family disputes over land.,Nnipa binom de ahopere de wɔn ho hyɛ abusua mu ntawntawdi mu wɔ asase ho.
I did not understand the need to create a specifically Islamic school of excellence,nyemese esiawɔwɔ gɔme gobii o
What would you like to buy?,Which product do you need?
»Others will not always understand our intentions,ame bubuwo mate ŋu ase mia susuwo gɔme o
Can you tell me the price?,Wubetumi aka ne bo akyerɛ me?
Communities lack funds to invest in fish farming.,Mpɔtam hɔfo nni sika a wɔde bɛto mpataa a wɔyɛn mu.
I've been reading about food preservation and I'm curious about the role of organic acids in jam production. Can you tell me more about it?,Mikane niyenii ni akɛtoɔ he lɛ he nii ni miitao male kɛ gbɛfaŋnɔ ni organic acids tsuɔ yɛ jam feemɔ mli lɛ he nii. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
People save small sums of money on mobile money for emergency use.,Nkorɔfoɔ sie sika kakraa bi wɔ foono (mobile money) so ma tebea a ɛhia ntɛm so.
How much would everything cost?,How much will everything come to?
"I read that President John Dramani Mahama praised the Food and Agriculture Minister, Eric Opoku. What did he say exactly?","Mikane akɛ Maŋ onukpa John Dramani Mahama jie Niyenii kɛ Okwaafoi Ahe Nɔkwɛlɔ, Eric Opoku yi. Mɛni tuuntu yɔɔ jɛmɛ?"
What's the cost of all these?,Dɛn na wɔbɔ wɔ eyinom nyinaa ho?
What are the names of some rural banks in the Ashanti Region of Ghana?,Mɛni ji akrowai amli shikatoohei komɛi ni yɔɔ Ashanti kpokpaa ni yɔɔ Ghana lɛ nɔ lɛ agbɛi?
How can we connect the buyer to the seller?,Yɛbɛyɛ dɛn atumi de nea ɔtɔ ade no abata nea ɔtɔn no ho?
The headteacher was arrested for asking students' money to bribe invigilators.,Wɔkyeree sukuupanin no so ɔbisaa sika firii asuafoɔ no hɔ sɛ ɔde reyɛ ademudeɛ ama wɔn a wɔhwɛ nsɔhwɛ so no.
How much per basket?,Ga home nenie le kusi ɖeka me?
What are the recommended action levels for radon concentration in air and water?,Mɛni ji nifeemɔi ni atsɔɔ akɛ afee kɛha radon ni yɔɔ kɔɔyɔɔ kɛ nu mli lɛ?
How much are you selling this for?,Ga home nenie nèle esia dzram ɖo?
How much does this cost?,How much for this?
I've been reading about the types of vegetables used in Ghanaian senior high schools. Can you tell me more about the ranking of vegetables by the students?,Mikaneɔ aduawai srɔtoi ni akɛtsuɔ nii yɛ sɛkɛndre skul wuji ni yɔɔ Ghana lɛ ahe saji. Ani obaanyɛ okɛɛ mi bɔ ni nikaselɔi lɛ le abɔɔ mli nitsumɔ amɛhaa lɛ he saji babaoo?
"What are some of the issues with the land market in Ghana, particularly affecting the urban poor?","Mɛni ji saji komɛi ni saa shikpɔŋ jarayeli he yɛ Ghana, titri lɛ maŋtiase mli ohiafoi lɛ?"
You're welcome here.,You are welcome here
"I did not return the greeting to my mother, who welcomed me",nyemeɖo nɔnye ƒe woezɔ doname ŋu o
What's the cheapest one?,Which costs the least?
"What are some of the key factors that affect the handling and storage of vegetables in Ghana, according to the research questionnaire?","Taakɛ niiamlitaomɔ sanebimɔ wolo lɛ tsɔɔ lɛ, mɛni ji nibii titrii komɛi ni náa bɔ ni akɛ aduawai tsuɔ nii ahaa kɛ bɔ ni akɛtoɔ he yɛ Ghana lɛ nɔ hewalɛ?"
The leader bought a car as a present for her daughter's twelfth birthday.,ɔkannifoɔ no tɔɔ kaa deyɛɛ akyɛdeɛ de maa ne ba baa wɔ ne mfinhyia du mmienu a wanya no mu.
Thank you.,Thanks.
People in rural areas share water with animals.,Nkorɔfoɔ a wɔwɔ nkuraase no ne mmoa nom nsuo korɔ.
I heard that Ghana's economy has been doing well lately. What's behind this turnaround?,Minu akɛ Ghana shika helɛtemɔ miiya nɔ jogbaŋŋ nyɛsɛɛ nɛɛ. Mɛni ji nɔ ni hɔ tsakemɔ nɛɛ sɛɛ?
Is this the final price?,Can you make it cheaper?
"In this era of working parents who feel guilty, please share the guilt equally,","ke le dziladɔwɔlawo siwo kpɔa be yewo dze agɔ la, taflatsɛ mina woanyae be amesiame vodadae"
Videos to watch Thank you!! already a very nice article.,"enyo be mǐakpɔ nɔnɔmetata sia,agbalẽ sia hã nyo"
Traditional religions in Ghana have retained their influence because of their intimate relation to family loyalties and local mores.,Amammerɛ mu som binom atumi anya nnipa so tumi abɛsi sɛsɛɛ ɛsiane ayɔnkofa kɛseɛ a ɛwɔ wɔ da mmusua binom nhyehyɛeɛ mu ne nkuro binom mu dwumadie mu no.
I came across a research article about the costs of chronic kidney disease in Ghana. Can you tell me more about the data collection technique used in the study?,Miyana niiamlitaomɔ wolo ko ni kɔɔ shika ni akɛwoɔ tsɛŋemɔ hela ni ehiii tsamɔ he yɛ Ghana lɛ he. Ani obaanyɛ okɛɛ mi gbɛ ni atsɔɔ nɔ abua saji anaa yɛ nikasemɔ lɛ mli lɛ he saji babaoo?
The church finance committee keeps all money collected from the Christians.,Asɔre no sikasɛm boayikuw no de sika a wogye fi Kristofo hɔ nyinaa sie.
I am a trader.,I sell goods for a living.
Farmers have to sign the document to acknowledge the receipt of seeds.,Ɛsɛ sɛ akuafo de wɔn nsa hyɛ krataa no ase de kyerɛ sɛ wɔn nsa aka aba no.
The district will construct new markets and trading centers.,Mansini no bɛsisi adwadibea foforɔ nne mmeaeɛ ahodoɔ a wɔbɛtumi adi dwa bebree
Drivers with vehicles in the poor mechanical state should be made to pay fines.,Ɛsɛ sɛ wɔma karkafo a wɔn kar ntumi nyɛ adwuma yiye no tua ka.
Most of the agricultural products are food for us.,Kuadwuma mu nneɛma dodow no ara yɛ aduan ma yɛn.
"What are some key findings from research on water management in Ghana, particularly in relation to the informal economy and urban water supply?","Mɛni ji nibii titrii komɛi ni ana yɛ nikasemɔi ni kɔɔ nu he nitsumɔ he yɛ Ghana, titri lɛ yɛ shika helɛtemɔ ni bɛ gbɛjianɔtoo mli kɛ maŋtiase mli nu ni akɛhaa lɛ he?"
What is the name of the new gospel show launched by Nii Noi on Hitz FM?,Mɛni ji sanekpakpa nifeemɔ hee ni Nai Noi je shishi yɛ Hitz FM lɛ gbɛi?
Safe travels.,Mɔzɔzɔ siwo le dedie.
How can I assist you today?,What do you need today?
Can you give me today's price?,How much does it cost today?
Good morning,Mema wo akye
Do you have a price list?,Where is your price list?
Money donations to people cannot help fight poverty in villages.,Sika a wɔde ma nkurɔfo no ntumi mmoa mma wɔnko ntia ohia wɔ nkuraa ase.
I've been reading about rice production in Ghana and I'm curious about the different methods used for threshing. What are some of the methods mentioned in the research?,Mikaneɔ bɔ ni afeɔ ŋmãa yɛ Ghana lɛ he nii ni miitao male gbɛi srɔtoi ni atsɔɔ nɔ ashwieɔ ŋmãa lɛ. Mɛni ji gbɛi ni atsɔɔ nɔ akaseɔ nii lɛ ekomɛi?
"But avocado is not the only food to be endowed with such quality, reports Sputnik",ke hã menyte peya ɖeka ko mee ŋusẽ sia le o
"Can you explain the process of measuring volumetric water content in soil, as described in the Ghanaian research article?",Ani obaanyɛ otsɔɔ gbɛ ni atsɔɔ nɔ asusuɔ nu ni yɔɔ shikpɔŋ mli lɛ mli taakɛ atsɔɔ mli yɛ Ghana niiamlitaomɔ sane lɛ mli lɛ mli?
Good to see you again.,Glad to see you again
Good to see you again.,It is good to see you again
Goodbye.,Akyire.
I've been reading about ackee aril flours and their potential uses in food and industrial applications. Can you tell me more about the effects of drying methods on their properties?,Mikane aqui aril powders kɛ bɔ ni akɛtsuɔ nii yɛ niyenii kɛ nitsumɔhei amli lɛ he nii. Ani obaanyɛ okɛɛ mi bɔ ni gbɛi ni atsɔɔ nɔ agbiɔ nii lɛ saa amɛnibii ahe ehaa lɛ he saji babaoo?
I've been reading about water treatment in Ghana and I came across the term 'AOCC'. What does it stand for?,Mikaneɔ nu he nitsumɔ he sane yɛ Ghana ni mikɛ wiemɔ ni ji 'AOCC' lɛ kpe. meni oshɔɔ?
I heard that the Trades Union Congress (TUC) is warning about an imminent water crisis in Ghana. Can you tell me more about this?,Minu ni Nitsumɔhe Nine Ajinafoi Akuu (TUC) lɛ miibɔ kɔkɔ yɛ nu he naagba ni miiba Ghana lɛ he. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
The amount of money dispersed to each youth group is dependent on its project proposal.,Sika dodow a wɔbɛpete ama mmabun kuw biara no gyina ne dwumadi ho nyansahyɛ so.
I've been reading about the high levels of pesticide residues in vegetables in Ghana. Can you tell me more about the risks associated with consuming these contaminated vegetables?,"No mli lɛ, mikaneɔ tsofai ni gbeɔ kooloi ni yɔɔ aduawai amli ni fa babaoo yɛ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi osharai ni yɔɔ nɛkɛ aduawai ni mli ewo muji nɛɛ ayeli he babaoo?"
What's your best price?,What's your final offer?
Good morning,Morning.
People fear accessing loans because of the conditions involved in paying them.,Nkorɔfoɔ suro sɛ wɔbɛgye bosea ɛsiane nhyehyɛeɛ a ɛwɔ bosea a wotua mu nti.
Can you tell me the price?,How much should I pay?
How much are you selling this for?,What is your selling price?
The taxi driver is blamed for over speeding causing a tyre burst hence the accident .The dead and injured people had not yet been identified by press time.,Wɔde asodi to taksikafo no so sɛ ɔde mmirika boro so ma tae bi paee enti akwanhyia no sii .Na wonnya nhuu nnipa a wɔawuwu ne wɔn a wɔapirapira no wɔ nsɛm ho amanneɛbɔ bere mu.
"Her boss has been forcing her to steal money from the company on his behalf, and she lied about her mother's sickness.","N’adwumawura ahyɛ no ma wawia sika afi adwumakuw no hɔ wɔ ne din mu, na odii atoro faa ne maame yare no ho."
"I've been reading about family planning in Ghana, specifically in the Wa municipality. What are some of the challenges postpartum women face when it comes to accessing family planning services?","Mikane weku gbɛjianɔtoo he sane yɛ Ghana, titri lɛ yɛ Wa Maŋtiase lɛ mli. Mɛni ji naagbai komɛi ni yei ni fɔ yɛ fɔmɔ sɛɛ lɛ kɛkpeɔ yɛ weku gbɛjianɔtoo nitsumɔi ni amɛaaná lɛ mli?"
"– Hello Audrey, how are you doing",Medogbe Audrey ale ke nefɔ ɖoe?
What's your best price?,What's the lowest price you can give me?
"I am fine, thank you.",I'm doing great.
What is the Telecel More Money promo and how does it work?,Mɛni ji Telecell Shika Kroko He Nɔyaa lɛ ni te etsuɔ ​​nii ehaa tɛŋŋ?
Aba also buys scholastic materials for her children.,Aba nso tɔ sukuu ho nneɛma ma ne mma.
Adobea encouraged her friend to pursue her dreams and never give up.,Adobea hyɛɛ n’adamfo no nkuran sɛ onni n’adaeso akyi na ɔmpa abaw da.
Local Defence Units should understand that they are not above the law.,Ɛsɛ sɛ Local Defence Units te ase sɛ wɔnyɛ nea wɔboro mmara so.
I'm interested in learning about the production of macrame bags using different yarns. Can you explain the process of creating a bag using the diagonal half hitch technique?,Miyɛ macrame kotokui ni akɛ tsɔji srɔtoi tsuɔ nii kɛfeɔ lɛ he miishɛɛ. Ani obaanyɛ otsɔɔ bɔ ni afeɔ baagi kɛtsɔ diagonal half hitch gbɛ nɔ lɛ mli?
The way the government is providing clean water is not liked by the people,"Ɔkwan a aban no fa so de nsu pa ma no, ɔmanfo no ani nnye ho"
The water standard of cleanliness was still lacking.,Ná nsu ho gyinapɛn a ɛfa ahotew ho no da so ara nni hɔ.
I've been reading about a study on regeneration and disposal of AOCM used for defluoridation of drinking water in Ghana. Can you explain the main findings of the study?,"Mikane nikasemɔ ko ni kɔɔ bɔ ni ajieɔ AOCM ni akɛtsuɔ nii kɛwoɔ nu ni anuɔ lɛ mli fluoride mli yɛ Ghana lɛ he, ni ajieɔ lɛ ashwieɔ shi lɛ he. Ani obaanyɛ otsɔɔ nibii titrii ni ana yɛ nikasemɔ lɛ mli lɛ mli?"
Which one costs less?,Lequel coûte le moins cher ?
How much for two?,What's the price for two?
"2- Google the person I often do Google searches of my name,",mewɔa numekuku kuɖe nye ŋukɔ ŋu to Google dzi
"These are the shrouds offered by family and friends,",enye ameɖivɔ si ƒome la kle xlɔ̃wo na
My name is Kofi.,Je m'appelle Kofi.
"I repeat to myself internally,",menɔ gbɔgblɔm le ɖokuinye me be
The people will get money after selling the construction materials to the company.,Nkurɔfo no benya sika bere a wɔatɔn adansi nneɛma no ama adwumakuw no awie no.
I'm interested in learning more about the impact of dividend policy on share prices in emerging markets. Can you tell me about a study that was conducted on this topic in Ghana?,Miyɛ he miishɛɛ akɛ makase bɔ ni shika ni ajaa lɛ he mla lɛ saa shika ni akɛwoɔ jarayeli hei ni miiya hiɛ lɛ ahe lɛ he nii babaoo. Ani obaanyɛ okɛɛ mi nikasemɔ ko ni afee yɛ Ghana yɛ saneyitso nɛɛ he lɛ he sane?
Christine is my best friend,Christine nye xɔ̃nye vevitɔ
How much per kilogram?,How much is it for a kilo?
Availability of ready market for agriculture products encourages farmers.,Guadi a wɔasiesie a wɔde besi kuayɛ mu nneɛma a wobenya no hyɛ akuafo nkuran.
Health workers are only people allowed to sell drugs.,Akwahosan ho adwumayɛfo yɛ nnipa a wɔma wɔn kwan ma wɔtɔn nnuru nkutoo.
"But the bread was intact,",gake abolo la li
There are high chances of the whole family suffering from malaria.,Yɛwɔ akwanya kɛseɛ sɛ abusua no nyinaa fa yeaa mu firi atiridii mu.
"It's okay, no worries.","Menyo o, dzimaɖitsitsi aɖeke meganɔ eme o."
"I've been hearing about Ghana's high cost of living. What are some of the key areas that contribute to this issue, according to Dr. Mahamudu Bawumia?","Miyaa nɔ minuɔ bɔ ni shihilɛ jara wa waa yɛ Ghana lɛ he. Taakɛ Dr. Mahamudu Bawumia tsɔɔ lɛ, mɛni ji hei titrii komɛi ni kɛ sane nɛɛ baa?"
I heard that FIFA officials received expensive watches as gifts. What's the story behind this?,Minu akɛ FIFA onukpai lɛ nine shɛɔ watsii ni jara wa nɔ akɛ nikeenii. Mɛni ji sane ni yɔɔ enɛ sɛɛ?
I want to buy a car this year.,Mepɛ sɛ metɔ kaa afe yi.
What's the cheapest one?,Which one is the least expensive?
I read that an accountant from the Produce Buying Company Limited lost a significant amount of money meant for cocoa farmers. Can you tell me more about the incident?,Mikane kɛjɛ Producer Purchase Company Limited lɛ akɔntaabuu he nitsulɔ lɛ dɛŋ akɛ shika babaoo ni ato he gbɛjianɔ aha kookoo okwaafoi lɛ elaaje. Ani obaanyɛ okɛɛ mi nɔ ni ba lɛ he saji babaoo?
How can I assist you today?,Is there anything you need today?
I read that Real Madrid paid Liverpool around eight point four zero  pounds sterlingm for Trent Alexander-Arnold. Why did they decide to pay the fee instead of waiting a month to get him for free?,Mikane akɛ Real Madrid wo Liverpool nyɔmɔ ni ji pound 8 kɛ ejwɛ ni ji zero pounds kɛha Trent Alexander-Arnold. Mɛni hewɔ esa akɛ owo he nyɔmɔ moŋ fe ni ooomɛ nyɔŋ kome ni onine ashɛ nɔ yaka?
I've been reading about Activity-Based Costing (ABC) and its benefits in organisations. Can you explain how ABC helps in identifying ineffective or duplicative procedures within a company?,Mikaneɔ nitsumɔ ni damɔ shika nɔ (ABC) kɛ sɛɛnamɔi ni yɔɔ he yɛ gbɛjianɔtoo ko mli lɛ he sane. Ani obaanyɛ otsɔɔ bɔ ni ABC baanyɛ aye abua ni ana nifeemɔi ni tsuuu nii jogbaŋŋ loo ni afee ekome yɛ nitsumɔhe ko lɛ mli?
Thanks for your help.,I appreciate your help.
But the third fruit came and hit the lion on its royal snout!,Ke kutsetse etɔlia vadze ƒe nugbɔ siŋu bubu le la.
Corruption among district officials has led to leaders selling the animals meant for the people to non-beneficiaries.,Adifudepɛ a ɛkɔ so wɔ ɔmantam mpanyimfo mu no ama akannifo atɔn mmoa a wɔahyɛ da ayɛ ama ɔmanfo no ama wɔn a wonnya so mfaso.
People who are selling pork have gone out of business.,Nnipa a wɔtɔn mprako nam no agyae adwuma.
What's your best price?,What is your lowest price?
Thank you.,Meda wo ase.
I've been reading about food-borne illnesses in Ghana. What are some of the most common pathogens causing foodborne illness?,Mikaneɔ helai ni jɛɔ niyenii mli baa yɛ Ghana lɛ ahe sane. Mɛni ji helai komɛi ni kɛ helai ni jɛɔ niyenii mli baa lɛ baa?
The bus ticket will be used to pay the players' bills.,Wɔde bɔs tekiti no bedi dwuma de atua agodifo no ka.
Who was named the GNCCI Media Personality of the Year two thousand and twenty-four?,Namɔ ji 224 GNCCI adafitswaa mli gbɔmɔ lɛ?
I shouldn't let the child with money out of sight.,Ɛnsɛ sɛ mema abofra a ɔwɔ sika no fi baabi a obiara nhu no.
What's the latest news on the Netflix series 'Blood and Water'?,Mɛni ji adafitswaa hee ni yɔɔ Netflix sini ni ji ‘La kɛ Nu’ lɛ mli?
He sold the young cow to his immediate neighbor.,Ɔtɔn nantwi ba no maa ne fipamfo a ɔbɛn no pɛɛ no.
I heard that Ghana's domestic tourism sector is doing well. Can you tell me more about it?,Minu akɛ Ghana maŋ lɛ mli shisharamɔ nitsumɔ lɛ miitsu nii jogbaŋŋ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I'm interested in learning more about family planning services in Ghana. Can you tell me about the challenges providers face in delivering these services?,Miyɛ he miishɛɛ akɛ makase weku gbɛjianɔtoo nitsumɔi ni yɔɔ Ghana lɛ ahe nii babaoo. Ani obaanyɛ okɛɛ mi naagbai ni mɛi ni kɛ nitsumɔi nɛɛ haa lɛ kɛkpeɔ yɛ nitsumɔi nɛɛ amli lɛ?
What is the significance of the anaerobic digestion process in the context of water hyacinth and sewage sludge?,Mɛni ji sɛɛnamɔ ni yɔɔ anaerobic digestion gbɛjianɔtoo he kɛha nu mli sũ kɛ muji?
Hi,Hey
Have a seat.,There's a seat for you.
Mark Zuckerberg's company has just put an end to it in an email sent to its customers,Markzukenberg ƒe adzɔa wu enu le lɛta aɖe si wona eƒe asisinɔwoe la me
Five men were arrested on suspicion of selling drugs illegally.,Wɔkyeree mmarima baanum esiane sɛ wosusuw sɛ wɔretɔn nnubɔne a mmara mma ho kwan nti.
"The medical stores buys, stores and distributes drugs to health centers.","Aduruyɛ sotɔɔ ahodoɔ no tɔ nnuru, sie na wɔkyekyɛ ma apɔmuden asoɛe ahodoɔ no."
People are selling their land to get money.,Nkorɔfoɔ retɔn wɔn nsase anya sika.
How much does this cost?,What is the amount?
I heard that Stonebwoy paid tribute to a music legend. Can you tell me more about that?,Minu akɛ Stonebwoy wo lala he abɛbua ko hiɛ nyam. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
"She couldn't have done it if I hadn't used the same name everywhere,",mateŋu wɔ esia ne nye mezã ŋukɔ ɖeka le afimawo katã o
Thanks for your help.,Merci pour votre aide.
I really don't understand why we give such information without the slightest explanation.,nukata woɖe nu sia fia esime womena gɔmeɖeɖe aɖeke oa
I came across a research article about the effect of crude oil prices and monetary policy on economic growth in Ghana. Can you tell me more about the data used in the study?,Miyana niiamlitaomɔ wolo ko ni kɔɔ bɔ ni mu ni akɛwoɔ tsɔne mli lɛ jara kɛ shika he gbɛjianɔtoo lɛ náa shika helɛtemɔ mli hiɛyaa nɔ hewalɛ ehaa yɛ Ghana lɛ he. Ani obaanyɛ okɛɛ mi saji babaoo ni kɔɔ saji ni akɛtsu nii yɛ nikasemɔ lɛ mli lɛ he?
Maybe.,Perhaps.
Not too bad.,Pas trop mal.
Do you have a price list?,Can I see the price list?
I am doing well.,Mereyɛ yiye.
Can you tell me the price?,What's the amount?
Is this the final price?,Is this your final price?
So it's even more difficult to find AB blood bags-,eyata wosesẽ be woakpɔ ʋuƒomevi sia
"In the afternoon on Sunday, the ancestral marketplace, “Tsetse guaso” is filled to capacity for the sacrifice.","Kwasida awiabere no, nananom gua so, “Tsetse guaso” no yɛ ma ma afɔrebɔ no."
I've been reading about family planning in Ghana. What are some of the reasons why men might not be involved in family planning decisions?,Mikane weku gbɛjianɔtoo he sane yɛ Ghana. Mɛni ji yiŋtoi komɛi ahewɔ ni hii kɛ amɛhe wooo weku gbɛjianɔtoo he yiŋkpɛɛi amli lɛ?
Artificial ways of preserving food are not good.,Akwan a wɔde nsa ayɛ a wɔfa so kora aduan so no nyɛ papa.
How old are you?,How many years old are you?
Nice to meet you.,It's nice meeting you.
"At one time, a girl on a bicycle disgraced her family because her skirts would be seen while she pedaled,",Le ɣeyiyiaɖeme vayi la nyɔnuvi ƒe keke kuku medea bubu eƒe ƒomela ŋu o elabe wodoa kpoyɛkpoyɛ yiadzi
Good to see you again.,I'm happy to see you again.
Parents are obliged to pay school fees at the school.,Ɛyɛ nhyɛ ma awofoɔ sɛ wɔtwea wɔn mma sukuu feese.
