English,Hausa
The problem is we don't have enough money.,Matsalar shi ne ba mu da isassun kuɗaɗe.
The question is how he will get the money.,Tambayar shi ne yaya za mu samu kuɗin.
The runners poured water over their heads.,Masu yin tseren sun zuba ruwa a kansu.
The supermarket didn't have what I wanted.,Kantin ba su da abin da nake buƙata.
The trouble is that we are short of money.,Matsalar shi ne kuɗi sun mana ƙaranci.
The waste of time and money is incredible.,Ɓata kuɗi da lokacin abin mamaki ne.
The water polo team practices at 5:30 a.m.,Ƙungiyar wasan polo na ruwan suna yin atisaye da misalin ƙarfe 5:30 na safe.
Their offer to buy the house was rejected.,An ƙi amincewa da tayinsu na siyan gidan.
There are cases where honesty doesn't pay.,Akwai lokutan da gaskiya ba ta biya.
There are many good restaurants in Boston.,Akwai gidajen abinci masu kyau da dama a Boston.
There is a bookstore in front of my house.,Akwai shagon saida littattafai a gaban gidana.
There is a good market for these articles.,Waɗannan kayayyakin suna da kasuwa mai kyau.
There is a little milk left in the bottle.,Madara kaɗan ce ta rage a cikin kwalbar.
There was a rapid decline in stock prices.,Farashin hannayen jari ya faɗi warwas.
These products are selling like hot cakes.,Ana matuƙar yin cinikin waɗannan kayayyakin.
They needed money to pay for the supplies.,Suna buƙtar kuɗi don su biya kuɗin kayayyakin da aka kawo.
This is the least expensive method of all.,Wannan hanyar ita ce ta fi kowacce araha.
This piece of furniture has a fine finish.,Wannan kayan ɗakin an ƙawata shi da kyau.
This restaurant has been here a long time.,Wannan gidan abincin ya daɗe a nan tsawon lokaci.
Tofu can be used as a substitute for meat.,Za a iya yin amfani da awara a madadin nama.
Ali and Mary were having a drink together.,Ali da Mary suna shan ruwa tare.
Ali asked Mary for something hot to drink.,Ali ya nemi buƙaci Mary ta ba shi wani abu mai zafi ya sha.
Ali bought Mary a fairly expensive camera.,Ali ya siyawa Mary kyamara mai ɗan tsada.
Ali came to my office to ask me for money.,Ali ya zo ofis ɗina don ya tambaye ni kuɗi.
Ali contributed a lot of money to charity.,Ali ya bayar da gudummawar kuɗi da yawa na sadaka.
Ali didn't know where the money came from.,Ali bai san daga ina kuɗin suke ba.
Ali doesn't appear to be paying attention.,Kamar dai Ali bai mai da hankali ba.
Ali doesn't drink alcoholic drinks at all.,Ali ba ya shan abubuwan sha masu ɗauke da giya kwata-kwata.
Ali forgave Mary for losing all his money.,Ali ya yafewa Mary laifin ɓatar masa da dukkanin kuɗinsa da ta yi.
Ali hid the money in his underwear drawer.,Ali ya ɓoye kuɗin a drowar kayansa 'yan ciki.
Ali is the only breadwinner in the family.,Ali ne kaɗai wanda ke samar da abinci a dangi.
Ali knew where Mary usually went shopping.,Ali ya san yawancin inda Mary take zuwa siyayya.
Ali likes to listen to old radio programs.,Ali yana son sauraron tsofaffin shirye-shiryen gidan rediyo.
Ali often borrowed money from his friends.,Ali yana yawan karɓar aron kuɗi daga abokansa.
Ali ordered the cheapest item on the menu.,Ali ya yi odar abinci mafi araha daga cikin jadawali.
Ali paid the bill and left the restaurant.,Ali ya biya kuɗin abincin ya bar gidan abincin.
Ali pays about 25% of his income in taxes.,Ali yana biyan kusan kaso 25 na samunsa a haraji.
Ali persuaded Mary to sell her motorcycle.,Ali ya gamsar da Mary a kan ta siyar da babur ɗinta.
Ali refuses to buy anything made in China.,Ali ya ƙi siyan duk abin da aka sana'anta a ƙasar Sin.
Ali said he didn't want anything to drink.,Ali ya ce ba ya son ya sha komai.
Ali stared at his reflection in the water.,Ali ya kalli kansa cikin ruwa.
Ali took out a loan in order to buy a car.,Ali ya ci bashi don ya siyi mota.
Ali took the hook out of the fish's mouth.,Ali ya cire fatsa daga bakin kifin.
Ali tossed his sleeping bag into the tent.,Ali ya tutsa jakar baccinsa cikin tantin.
Ali was surprised when Mary caught a fish.,Ali ya yi mamaki lokacin da Mary ta kamo kifi.
Ali went fishing the day before yesterday.,Ali ya je kamun kifi shekaran jiya.
Ali went to get a glass of water for Mary.,Ali ya tafi nemo wa Mary kofin ruwan sha.
Ali works in a flower shop on Park Street.,Ali yana aiki a wani shagon furanni a titin Park Street.
We need to save up money to buy a new car.,Muna buƙatar mu ajiye kuɗi domin siyan sabuwar mota.
We should drink 64 ounces of fluids a day.,Ya kamata mu sha abu mai ruwa ounce 64 a rana.
We should've bought three bottles of wine.,Kwalbar tsimin inibi uku ma ya kamata a ce mun siyo.
"What I need is not money, but your advice.","Ba kuɗi nake buƙata ba, shawararka nake buƙata."
What is the length of this piece of cloth?,Menene tsayin wannan yadin tufafin.
What kinds of tropical drinks do you have?,Waɗanne irin nau'in kayan sha waɗanda suka dace da lokacin zafi kake da su?
What natural foods help curb the appetite?,Waɗanna irin nau'in abinci na halitta ne ke taimakawa wajen rage yawan cin abinci?
What would you buy if you won the lottery?,Me za ka siya idan ka ci cacar lottery?
What's your favorite fast food restaurant?,Wanne gidan abinci ne da ke haɗa abinci gaggawa ka fi so?
What's your favorite fast-food restaurant?,Wanne gidan abinci ne da ke haɗa abinci gaggawa ka fi so?
What's your favorite programming language?,Wanne yaren sarrafa na'ura mai ƙwaƙwalwa ka fi so?
When and where did you buy that old clock?,Yaushe kuma a ina ka siyi wannan tsohon agogon?
Where's the information center for hotels?,Ina ne cibiyar yaɗa labarai ta otal-otal?
Why did you buy that expensive dictionary?,Me ya sa ka siyi wancan ƙamusun mai tsada?
Why did you buy this expensive dictionary?,Me ya sa ka siyi wannan ƙamusun mai tsada?
Why don't you try to take your money back?,Me ya sa ba za ka yi ƙoƙarin karɓar kuɗinka ba?
"Without air and water, nothing could live.",Babu abin da zai rayu ba tare da ruwa da iska ba.
Would you give me something cold to drink?,Za ka iya ba ni wani abu mai sanyi na sha?
Would you prefer to go fishing or hunting?,"Wanne za ka fi son zuwa, kamun kifi ko farauta?"
You can't drive now. You've been drinking.,"Ba za ka iya yin tuƙi yanzu ba, ka daɗe kana shan giya."
You can't expect me to pay for everything.,Ba zai yiwu ka sa ran ni zan biya komai ba.
You won't find this book in any bookstore.,Ba za ka samu wannan littafin a kowanne shagon siyar da littattafai ba.
A cup of coffee cost 200 yen in those days.,"A lokutan baya, kofi ɗaya na kofi kuɗinsa yen 200 ne."
A group of teenagers robbed me of my money.,Gungun matasa 'yan shekaru goma sha sun yi mini ƙwacen kuɗi.
A honeymoon in Canada costs a lot of money.,Yawon shaƙatawa bayan aure a ƙasar Kanada yana cin kuɗi sosai.
A lot of people think that whales are fish.,Mutane da dama suna tunanin Whale kifi ne.
"An apple will float in water, a pear won't.","Tufa za ta yi yawo a saman ruwa, amma fiya ba zai yi ba."
Animals cannot exist without air and water.,Dabbobi ba za su iya rayuwa ba ba tare da iska da ruwa ba.
Are the stores closed on Sunday in England?,Shin ana rufe kantuna a ranar Lahadi a Ingila?
Are there any good restaurants around here?,Shin akwai wani gidan abinci mai kyau a nan kusa?
Can you help me get my money back from Ali?.,Za ka iya taimaka min na karɓo kuɗina daga wajen Ali?
Can you recommend a good hotel in the area?,Shin za ka iya ba da shawarar wani otal mai  kyau a yankin?
Can you recommend a hotel near the airport?,Shin za ka iya ba da shawarar wani otal a kusa da filin tashi da saukar jiragen?
Climbing that mountain was a piece of cake.,Hawa wancan tsaunin yana da sauƙi.
Could you put those bags in the car for me?,Za ka iya saka min waɗancan jakankunan a cikin mota?
Do you have a room that's a little cheaper?,Kana da ɗakin da ya ɗan fi araha?
Do you know how to get to the Hilton Hotel?,Shin ka san hanyar zuwa Otal ɗin Hilton?
Do you think you could give me a paper bag?,Kana ganin za ka iya ba ni jakar kwali?
Don't keep all of your money in one pocket.,Kar ka ajiye dukkanin kuɗinka a cikin aljihu ɗaya.
Embezzle money? I wouldn't put it past her.,Satar kuɗi? ba zan yi mamaki ba don ta yi shi.
Even the richest man cannot buy everything.,Hatta mutumin da ya fi kowa kuɗi ma ba zai iya siyan komai ba.
Excessive supply leads to a drop in prices.,Yawaitar fito da kaya yana janyo faɗuwar farashi.
He can do whatever he likes with the money.,Zai iya yin duk abin da yake so da kuɗin.
He suggested to her that she should buy it.,Ya ba ta shawarar cewa ta siyi abin.
Her bag is the same design as her mother's.,Ƙirar jakarta iri ɗaya ne da na mahaifiyarta.
His store is always crowded with customers.,Kantinsa yana cika da mutane a kodayaushe.
How about going out for a drink after work?,Ya kake ganin mu fita don mu sha abin sha bayan tashi daga aiki?
How did Ali get his hands on so much money?,Yaya aka yi Ali ya samu kuɗi masu yawa haka?
How many cups of coffee do you drink a day?,Kofin kofi nawa kake sha a rana?
I am in a bind as my money has been stolen.,Ina cikin matsala saboda an sace min kuɗina.
I can lend you some money if you need some.,Zan iya ranta maka kuɗi idan kana buƙatar wasu.
I can't pay you back the money you lent me.,Ba zan iya biyanka kuɗin da ka ranta min ba.
I consider fruit to be the healthiest food.,Na ɗauki kayan marmari a matsayin kayan abinci wanda ya fi samar da lafiya.
I don't have much money in my bank account.,Ba ni da kuɗi sosai a cikin asusun bankina.
I don't know why Ali needs that much money.,Ban san me ya sa Ali yake son waɗannan kuɗin masu yawa ba.
I don't see why we had to buy all the food.,Ban ga dalilin da zai saka mu siyi duka abincin ba.
I doubt if this shop will ever pay its way.,Ina shakkar ko wannan shagon zai dinga samar da riba.
I found the missing piece of your necklace.,Na samu sashen da ya ɓata na sarƙar wuyanki.
I gave him what little money I had with me.,Na ba shi ɗan kuɗin da ya rage mini.
I like the blue one. How much does it cost?,"Ina son shuɗin, nawa ne kuɗin?"
I need you to go to the supermarket for me.,Ina son ka je mini shagon siyar  da kayayyaki.
I ran out of money during my stay in India.,Kuɗina sun ƙare duka lokacin da na zauna a Indiya.
I still have things stored in Ali's garage.,Har yanzu ina da abubuwan da na ajiye a gajerin Ali.
I think you should ask for your money back.,Ina ganin ya kamata ka nemi a biya ka kuɗinka.
I want to stay in a hotel near the airport.,Ina son na zauna a otal kusa da filin sauka da tashin jirage.
I was wondering if I could buy you a drink.,Ina ta tunanin ko zan iya siya maka abin sha.
I'm going to invest money in this business.,Zan zuba jarin kuɗi a cikin wannan kasuwancin.
I'm having a hard time with French grammar.,Nahawun Faransanci yana ba ni wahala.
I'm having a hard time with German grammar.,Nahawun Jamusanci yana ba ni wahala.
I'm seriously thinking of selling my house.,Da gaske ina tunanin siyar da gidana.
I've been saving up to buy a new saxophone.,Na daɗe ina ajiye kuɗi domin siyan saxophone.
I've made a list of things I'd like to buy.,Na rubuta jerin abubuwan da nake son siya.
It cost a lot more than I thought it would.,Ya ci kuɗi sosai sama da yadda na yi zaton zai ci.
It will cost you $100 to fly to the island.,Tafiya a jirgin sama zuwa tsibirin zai ci maka dala 100.
It's very hard getting a taxi in this city.,Samun motar tasi yana da wahala a wannan birnin
Keep an eye on my bag while I buy a ticket.,Kula min da jakata yayin da zan siyo tikiti.
Let's divide this money between you and me.,Mu raba wannan kuɗin tsakanin ni da kai.
Let's inquire about our hotel reservations.,Bari mu yi tambaya dangane da otal ɗin da muka kama.
Many people worry about paying their bills.,Mutane da dama sun damu ne da biyan kuɗin kashewarsu.
Money cannot pay for the loss of happiness.,Kuɗi ba zai iya biyan farincikin da aka rasa ba.
Money doesn't necessarily make you happier.,Ba lallai ne kuɗi ya sanya ka farinciki ba.
Most Japanese eat rice at least once a day.,Yawancin 'yan ƙasar Japan suna cin shinkafa aƙalla sau ɗaya a rana.
My father and I go fishing once in a while.,Ni da mahaifina muna zuwa kamun kifi lokaci zuwa lokaci.
She gathered the pieces of the broken dish.,Ta tattare guntayen farantin da ya fashe.
She goes to market every day to buy things.,Tana zuwa kasuwa kullum don ta siyi abubuwa.
She had her baggage carried to the airport.,She had her baggage carried to the airport.
She handed him the money that she owed him.,Ta ba shi kuɗin da ta ranta masa.
She took no pleasure in eating or drinking.,Ba ta jin daɗi wajen cin abinci ko abin sha.
She tore the letter into a thousand pieces.,Ta yaga wasiƙar gutsi-gutsi.
Shopping malls are popular among teenagers.,Manyan shagunan siyar da kayayyaki sun shahara a wajen matasa 'yan shekara sha.
Some of the dolls are too expensive to buy.,Wasu 'yar tsanar sun yi tsada sosai wajen siya.
"Sorry, but you're not allowed to fish here.","Yi haƙuri, amma ba a ba ka damar kamun kifi a nan ba."
That program is broadcast every other week.,Wannan shirin ana yaɗa shi a kowanne mako.
The actors appeared in historical costumes.,Jaruman fim ɗin sun yi kwalliya ta kayan tarihi.
The baby almost choked on a piece of candy.,Jaririn ya kusa shaƙewa da guntuwar alawar.
"The bread was moldy, but Ali ate it anyway.","Biredin ya yi funfuna, amma Ali ya cinye shi a haka."
The company raised money for new computers.,Kamfanin ya samar da kuɗi son siyan sababbin kwamfutoci.
The company's stock price jumped yesterday.,Farashin hannun jarin kamfanin ya tashi jiya.
The cost of repairing the roof shocked her.,Kuɗin gyaran rufin ya kiɗima ta.
The hotel was luxurious beyond description.,Otal ɗin ƙayatacce ne fiye da yadda za a kwatanta.
The man dashed the bottle against the wall.,Mutumin ya buga kwalbar da bango.
The money was all there. Nobody touched it.,Duka kuɗin suna nan. Babu wanda ya taɓa su.
The pay is terrible and the hours are long.,Albashin babu kyau kuma sa'oin sun yi yawa.
The poor old woman was robbed of her money.,An yi wa tsohuwar matar fashin kuɗi.
The problem is that I don't have any money.,Matsalar shi ne ba ni da wani kuɗi.
The restaurant is next door to the theater.,Gidan abincin yana maƙwabtaka da gidan kallon wasan kwaikwayon.
The sentence is not grammatically accurate.,Jimlar ba daidai take ba a tsarin nahawu.
The soldiers filled the sandbags with sand.,Sojojin sun cika buhunan yashin da yashi.
The store happened to be crowded yesterday.,Shagon ya cika maƙil jiya.aa
The tired old lady had bags under her eyes.,fatar idanun gajiyayyiyar tsohuwar sun sakko.
There are some things that money can't buy.,Akwai abubuwan da kuɗi ba zai iya siya ba.
There is an urgent need for drinking water.,Akwai buƙatar gaggawa ta ruwan sha.
There is an urgent need for food and water.,Akwai buƙatar gaggawa ta abinci da ruwan sha.
There was no one in the shop to wait on me.,Babu kowa a shagon da zai saurare ni.
There were two famous artists at the hotel.,Akwai shahararrun mawaƙa guda biyu a otal ɗin.
There's a little bit of water in the glass.,Akwai ruwa kaɗan a cikin gilashin.
There's a long line at every cash register.,Akwai dogon layi a kowanne injin karɓar kuɗi.
They did everything in order to make money.,Sun yi komai ne domin su samu kuɗi.
"They sell apples, oranges, eggs, and so on.","Suna siyar da tufa, lemo, ƙwai da sauransu."
This area suffers from a shortage of water.,Wannan yankin yana fama da ƙarancin ruwa.
This car was so cheap that he could buy it.,Wannan motar tana da sauki ta yadda zai iya siyan ta.
This clock is far more expensive than that.,Wannan agogon ya fi wancan tsada sosai.
This grocery store only sells organic food.,Wannan kantin kayan amfanin gidan iya abincin asali yake siyarwa.
This restaurant is noted for its good food.,Wannan gidan abincin ya yi fice ne saboda abincinsa mai daɗi.
This supermarket delivers only on Saturday.,Wannan babban kantin yana aika kaya ne ranar Asabar kaɗai.
This sweater costs more than fifty dollars.,Wannan rigar ta ci mini sama da dala hamsin.
This watch is less expensive than that one.,Wannan agogon bai kai wancan tsada ba. 
Today you can get two for the price of one.,A yau za a ba ka guda biyu a farashin ɗaya.
Ali and I go fishing together every summer.,"Duk lokacin rani, muna zuwa kamun kifi ni da Ali."
Ali and Mary both enjoy playing basketball.,Ali da Mary dukkaninsu suna jin daɗin yin ƙwallon kwando.
Ali asked me to buy him something to drink.,Ali ya buƙaci na siyo masa wani abu ya sha.
Ali can't afford to buy Mary anything nice.,Ali ba zai iya siya wa Mary kowanne abu mai kyau ba.
Ali doesn't eat meat and neither does Mary.,"Ali ba ya cin nama, haka ma Mary ba ta ci."
Ali doesn't know why Mary doesn't eat meat.,Ali bai san me ya sa Mary ba ta cin nama ba.
Ali doesn't need money to have a good time.,Ali ba ya buƙatar kuɗi don ya ji daɗi.
Ali eats nothing but fruits and vegetables.,Ali ba ya cin komai sai kayan marmari da kayan lambu.
Ali finished the bottle of wine by himself.,Ali ya gama shanye kwalbar tsimin inibin shi kaɗai.
Ali has a room at the hotel near the river.,Ali yana da ɗaki a wani otal da yake kusa da kogi.
Ali is going to buy a new car next weekend.,Ali zai siyi sabuwar mota a ƙarshen mako mai zuwa.
Ali left to go fishing shortly before dawn.,Ali ya tafi domin zuwa kamun kifi kafin asuba.
Ali lives in a house without running water.,Ali yana zaune a gidan da babu ruwan famfo.
Ali offered to pay Mary to clean his house.,Ali ya ce zai biya Mary kuɗi domin ta share gidansa.
Ali picked up a piece of the broken mirror.,Ali ya ɗauki guntun madubin da ya fashe.
Ali put the cork back into the wine bottle.,Ali ya mayar da murfin tsimin inibin jikin kwalba.
Ali realized that he might need more money.,Ali ya gano cewa zai iya buƙatar ƙarin kuɗi.
Wash your hands before you handle the food.,Ka wanke hannunka kafin ka ɗau abincin.
We got an interesting piece of information.,Mun samu wani muhimmin bayani mai ƙayatarwa.
We must get together for a drink some time.,Dole mu haɗu wani lokaci domin mu sha abin sha.
We needed a taxi to take us to the station.,Muna buƙatar tasi da za ta kai mu tasha.
We should've bought another bottle of wine.,Ya kamata a ce mun siyo wata kwalbar tsimin inibin.
We stopped for lunch at a local restaurant.,Mun tsaya don cin abincin rana a wani gidan abinci na gida.
We've had a poor crop due to lack of water.,Mun samu ƙarancin girbi sakamakon rashin ruwa.
What do you call this vegetable in English?,Yaya kuke kiran wannan kayan lambun da Turanci?
What is your favorite fast-food restaurant?,Wanne gidan abincin gaggawa ne ka fi so?
What's your favorite kind of fish to catch?,Wanne kifin ka fi son kamawa?
Which one do you think Ali is going to buy?,Wanne kake tunanin Ali zai siya?
Why did you lend money to someone like her?,Me ya sa ka bayar da aron kuɗinka ga mutane irin ta?
Why did you lend money to someone like him?,Me ya sa ka bayar da aron kuɗinka ga mutum irin sa?
Wind is a cheap and clean source of energy.,Iska hanyar samun makamashi ce mai araha da tsafta.
You can't fix it. You should buy a new one.,"Ba za ka iya gyara shi ba, ya kamata ka siyi sabo."
You can't put the genie back in the bottle.,Ba za ka iya mayar da nono cikin hantsa ba.
You shouldn't eat this meat. It smells bad.,"Bai kamata ka ci wannan naman ba, wari yake."
You will find the restaurant on your right.,Za ka ga gidan abincin a hannun dama.
You're crazy to buy such an expensive bike.,Wauta ce sosai ka siyi babur mai tsada haka.
"You need to pay a fee. ""What kind of fee?""","Ana buƙatar ka biya kuɗi? ""Wanne irin kuɗi."""
A lot of wild animals died for lack of food.,Namun daji da dama sun mutu sakamakon ƙarancin abinci.
"Before buying shoes, you should try them on.","Kafin ka sai takalma, ya kamata ka gwada su."
By the time Ali got to the shop it was shut.,Lokacin da Ali ya je shagon an rufe shi.
Can you spin a basketball on your fingertip?,Za ka iya juya ƙwallon kwando a kan ɗan yatsanka?
Children who are thirsty should drink water.,Ya kamata yaran da suke jin ƙishirwa su sha ruwa.
Christmas is a good time to market new toys.,Lokacin Kirsimati lokaci ne mai kyau na tallata sababbin kayan wasan yara.
Could you knock down the price if I buy two?,Za ka rage min farashi idan na siyi guda biyu?
Did you have a good meal at that restaurant?,Kuna da abinci mai kyau a gidan abincin?
Do you have a doctor or nurse in this hotel?,Kuna da likita ko malamin jinya a wannan otal ɗin?
Do you have a piece of paper I can write on?,Kana da guntuwar takardar da zan iya yin rubutu?
Do you know any good restaurant around here?,Shin ka san wani gidan abinci mai kyau a nan kusa?
Don't throw the baby out with the bathwater.,Kar ka zubar da jaririn tare da ruwan wankan.
Find an empty bottle and fill it with water.,Ka nemo kwalbar da babu komai cikinta ka cika ta da ruwa.
Fish is an important food source for people.,Kifi abinci ne mai muhimmanci ga mutane.
Fresh produce is sold at an open-air market.,Ana siyar da sababbin kayan amfanin gona a kasuwar kan hanya. 
"From now on, we'll have to spend less money.","Daga yanzu, ba za mu dinga kashe kuɗi sosai ba,"
Furniture made of good materials sells well.,Kayan ɗakin da aka yi su da kayan aiki masu kyau an fi siyar da su.
Give me your money or else I'll beat you up.,"Ba ni kuɗinka, in kuma ba haka ba na yi maka duka."
He doesn't smoke and he doesn't drink vodka.,"Ba ya shan taba, ba kuma ya shan giyar vodka."
He had the misfortune to lose all his money.,Ya yi rashin sa'ar rasa dukkanin kuɗinsa.
He pressed his face against the shop window.,Ya haɗa fuskarsa da tagar shagon.
He took to drinking after his wife left him.,Ya fara shan giya bayan matarsa ta rabu da shi.
He went fishing in a river near the village.,Ya je kamun kifi a wani kogi kusa da ƙauyen.
